。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
师 : 白 0 | 预 1 | 承 2 | 抓 3 | 斗 4 | 兰 5 | 低 6 | 版 7 | 模 8 | 俄 9 | 

核 : 兰 0 | 版 1 | 抓 2 | 俄 3 | 预 4 | 努 5 | 白 6 | 层 7 | 承 8 | 片 9 | 

察 : 努 0 | 层 1 | 俄 2 | 片 3 | 版 4 | 念 5 | 兰 6 | 余 7 | 抓 8 | 域 9 | 

图 : 念 0 | 余 1 | 片 2 | 域 3 | 层 4 | 减 5 | 努 6 | 贫 7 | 俄 8 | 居 9 | 

胜 : 减 0 | 贫 1 | 域 2 | 居 3 | 余 4 | 降 5 | 念 6 | 良 7 | 片 8 | 充 9 | 

客 : 降 0 | 良 1 | 居 2 | 充 3 | 贫 4 | 兵 5 | 减 6 | 胜 7 | 域 8 | 随 9 | 

湖 : 兵 0 | 胜 1 | 充 2 | 随 3 | 良 4 | 你 5 | 降 6 | 伊 7 | 居 8 | 春 9 | 

围 : 你 0 | 伊 1 | 随 2 | 春 3 | 胜 4 | 促 5 | 兵 6 | 便 7 | 充 8 | 油 9 | 

字 : 促 0 | 便 1 | 春 2 | 油 3 | 伊 4 | … 5 | 你 6 | 劳 7 | 随 8 | 卫 9 | 

购 : … 0 | 劳 1 | 油 2 | 卫 3 | 便 4 | 显 5 | 促 6 | 献 7 | 春 8 | 红 9 | 

树 : 显 0 | 献 1 | 卫 2 | 红 3 | 劳 4 | 股 5 | … 6 | 均 7 | 油 8 | 钱 9 | 

官 : 股 0 | 均 1 | 红 2 | 钱 3 | 献 4 | 班 5 | 显 6 | 剧 7 | 卫 8 | 围 9 | 

你 : 班 0 | 剧 1 | 钱 2 | 围 3 | 均 4 | 普 5 | 股 6 | 邓 7 | 红 8 | ！ 9 | 

夫 : 普 0 | 邓 1 | 围 2 | ！ 3 | 剧 4 | 份 5 | 班 6 | 字 7 | 钱 8 | 料 9 | 

半 : 份 0 | 字 1 | ！ 2 | 料 3 | 邓 4 | 除 5 | 普 6 | 限 7 | 围 8 | 半 9 | 

版 : 除 0 | 限 1 | 料 2 | 半 3 | 字 4 | 修 5 | 份 6 | 措 7 | ！ 8 | 算 9 | 

减 : 修 0 | 措 1 | 半 2 | 算 3 | 限 4 | 粮 5 | 除 6 | 担 7 | 料 8 | 货 9 | 

油 : 粮 0 | 担 1 | 算 2 | 货 3 | 措 4 | 请 5 | 修 6 | 终 7 | 半 8 | 击 9 | 

景 : 请 0 | 终 1 | 货 2 | 击 3 | 担 4 | 曾 5 | 粮 6 | 六 7 | 算 8 | 阳 9 | 

阶 : 曾 0 | 六 1 | 击 2 | 阳 3 | 终 4 | 训 5 | 请 6 | 太 7 | 货 8 | 健 9 | 

斗 : 训 0 | 太 1 | 阳 2 | 健 3 | 六 4 | 破 5 | 曾 6 | 火 7 | 击 8 | 派 9 | 

班 : 破 0 | 火 1 | 健 2 | 派 3 | 太 4 | 馆 5 | 训 6 | 待 7 | 阳 8 | 称 9 | 

略 : 馆 0 | 待 1 | 派 2 | 称 3 | 火 4 | 令 5 | 破 6 | 却 7 | 健 8 | 站 9 | 

卫 : 令 0 | 却 1 | 称 2 | 站 3 | 待 4 | 田 5 | 馆 6 | 号 7 | 派 8 | 送 9 | 

货 : 田 0 | 号 1 | 站 2 | 送 3 | 却 4 | 云 5 | 令 6 | 景 7 | 称 8 | 黄 9 | 

兵 : 云 0 | 景 1 | 送 2 | 黄 3 | 号 4 | 止 5 | 田 6 | 审 7 | 站 8 | 树 9 | 

曾 : 止 0 | 审 1 | 黄 2 | 树 3 | 景 4 | 盟 5 | 云 6 | 配 7 | 送 8 | 什 9 | 

请 : 盟 0 | 配 1 | 树 2 | 什 3 | 审 4 | 竞 5 | 止 6 | 私 7 | 黄 8 | 刘 9 | 

扩 : 竞 0 | 私 1 | 什 2 | 刘 3 | 配 4 | 且 5 | 盟 6 | 『 7 | 树 8 | 苏 9 | 

票 : 且 0 | 『 1 | 刘 2 | 苏 3 | 私 4 | 网 5 | 竞 6 | 堤 7 | 什 8 | 铁 9 | 

福 : 网 0 | 堤 1 | 苏 2 | 铁 3 | 『 4 | 置 5 | 且 6 | 超 7 | 刘 8 | 抢 9 | 

铁 : 置 0 | 超 1 | 铁 2 | 抢 3 | 堤 4 | 像 5 | 网 6 | 雨 7 | 苏 8 | 底 9 | 

伟 : 像 0 | 雨 1 | 抢 2 | 底 3 | 超 4 | 早 5 | 置 6 | 药 7 | 铁 8 | 闻 9 | 

器 : 早 0 | 药 1 | 底 2 | 闻 3 | 雨 4 | 愿 5 | 像 6 | 器 7 | 抢 8 | 顿 9 | 

星 : 愿 0 | 器 1 | 闻 2 | 顿 3 | 药 4 | 写 5 | 早 6 | 仍 7 | 底 8 | 购 9 | 

判 : 写 0 | 仍 1 | 顿 2 | 购 3 | 器 4 | 贷 5 | 愿 6 | 画 7 | 闻 8 | 晚 9 | 

止 : 贷 0 | 画 1 | 购 2 | 晚 3 | 仍 4 | 烈 5 | 写 6 | 午 7 | 顿 8 | 票 9 | 

留 : 烈 0 | 午 1 | 晚 2 | 票 3 | 画 4 | 藏 5 | 贷 6 | 介 7 | 购 8 | 略 9 | 

沙 : 藏 0 | 介 1 | 票 2 | 略 3 | 午 4 | 眼 5 | 烈 6 | 苦 7 | 晚 8 | 试 9 | 

云 : 眼 0 | 苦 1 | 略 2 | 试 3 | 介 4 | 适 5 | 藏 6 | 额 7 | 票 8 | 售 9 | 

号 : 适 0 | 额 1 | 试 2 | 售 3 | 苦 4 | 』 5 | 眼 6 | 督 7 | 略 8 | 扩 9 | 

印 : 』 0 | 督 1 | 售 2 | 扩 3 | 额 4 | 离 5 | 适 6 | 读 7 | 试 8 | 汇 9 | 

写 : 离 0 | 读 1 | 扩 2 | 汇 3 | 督 4 | 奖 5 | 』 6 | 临 7 | 售 8 | 捐 9 | 

晚 : 奖 0 | 临 1 | 汇 2 | 捐 3 | 读 4 | 龙 5 | 离 6 | 急 7 | 扩 8 | 汉 9 | 

索 : 龙 0 | 急 1 | 捐 2 | 汉 3 | 临 4 | 听 5 | 奖 6 | 荣 7 | 汇 8 | 福 9 | 

候 : 听 0 | 荣 1 | 汉 2 | 福 3 | 急 4 | 旅 5 | 龙 6 | 害 7 | 捐 8 | 庆 9 | 

予 : 旅 0 | 害 1 | 福 2 | 庆 3 | 荣 4 | 岁 5 | 听 6 | 园 7 | 汉 8 | 座 9 | 

升 : 岁 0 | 园 1 | 庆 2 | 座 3 | 害 4 | 飞 5 | 旅 6 | 刚 7 | 福 8 | 波 9 | 

售 : 飞 0 | 刚 1 | 座 2 | 波 3 | 园 4 | 星 5 | 岁 6 | 留 7 | 庆 8 | 索 9 | 

征 : 星 0 | 留 1 | 波 2 | 索 3 | 刚 4 | 买 5 | 飞 6 | 帮 7 | 座 8 | 驻 9 | 

密 : 买 0 | 帮 1 | 索 2 | 驻 3 | 留 4 | 七 5 | 星 6 | 绍 7 | 波 8 | 陈 9 | 

室 : 七 0 | 绍 1 | 驻 2 | 陈 3 | 帮 4 | 纳 5 | 买 6 | 互 7 | 索 8 | 属 9 | 

午 : 纳 0 | 互 1 | 陈 2 | 属 3 | 绍 4 | 阶 5 | 七 6 | 宁 7 | 驻 8 | 状 9 | 

绩 : 阶 0 | 宁 1 | 属 2 | 状 3 | 互 4 | 牌 5 | 纳 6 | 伟 7 | 陈 8 | 康 9 | 

状 : 牌 0 | 伟 1 | 状 2 | 康 3 | 宁 4 | 轻 5 | 阶 6 | 针 7 | 属 8 | 巨 9 | 

陈 : 轻 0 | 针 1 | 康 2 | 巨 3 | 伟 4 | 迎 5 | 牌 6 | 讨 7 | 状 8 | 摄 9 | 

既 : 迎 0 | 讨 1 | 巨 2 | 摄 3 | 针 4 | 密 5 | 轻 6 | 草 7 | 康 8 | 奋 9 | 

苏 : 密 0 | 草 1 | 摄 2 | 奋 3 | 讨 4 | 候 5 | 迎 6 | 著 7 | 巨 8 | 靠 9 | 

践 : 候 0 | 著 1 | 奋 2 | 靠 3 | 草 4 | 独 5 | 密 6 | 刻 7 | 摄 8 | 欢 9 | 

绍 : 独 0 | 刻 1 | 靠 2 | 欢 3 | 著 4 | 控 5 | 候 6 | 损 7 | 奋 8 | 久 9 | 

试 : 控 0 | 损 1 | 欢 2 | 久 3 | 刻 4 | 哈 5 | 独 6 | 升 7 | 靠 8 | 温 9 | 

独 : 哈 0 | 升 1 | 久 2 | 温 3 | 损 4 | 激 5 | 控 6 | 音 7 | 欢 8 | 币 9 | 

障 : 激 0 | 音 1 | 温 2 | 币 3 | 升 4 | 庭 5 | 哈 6 | 予 7 | 久 8 | 判 9 | 

控 : 庭 0 | 予 1 | 币 2 | 判 3 | 音 4 | 章 5 | 激 6 | 既 7 | 温 8 | 吃 9 | 

送 : 章 0 | 既 1 | 判 2 | 吃 3 | 予 4 | 某 5 | 庭 6 | 逐 7 | 币 8 | 搞 9 | 

湾 : 某 0 | 逐 1 | 吃 2 | 搞 3 | 既 4 | 够 5 | 章 6 | 沙 7 | 判 8 | 召 9 | 

欢 : 够 0 | 沙 1 | 搞 2 | 召 3 | 逐 4 | 祖 5 | 某 6 | 冲 7 | 吃 8 | 另 9 | 

驻 : 祖 0 | 冲 1 | 召 2 | 另 3 | 沙 4 | 室 5 | 够 6 | 压 7 | 搞 8 | 卡 9 | 

贯 : 室 0 | 压 1 | 另 2 | 卡 3 | 冲 4 | 编 5 | 祖 6 | 践 7 | 召 8 | 孩 9 | 

彻 : 编 0 | 践 1 | 卡 2 | 孩 3 | 压 4 | 航 5 | 室 6 | 故 7 | 另 8 | 违 9 | 

括 : 航 0 | 故 1 | 孩 2 | 违 3 | 践 4 | 丰 5 | 编 6 | 遇 7 | 卡 8 | 托 9 | 

压 : 丰 0 | 遇 1 | 违 2 | 托 3 | 故 4 | 顾 5 | 航 6 | 语 7 | 孩 8 | 绝 9 | 

彩 : 顾 0 | 语 1 | 托 2 | 绝 3 | 遇 4 | 括 5 | 丰 6 | 找 7 | 违 8 | 黑 9 | 

疗 : 括 0 | 找 1 | 绝 2 | 黑 3 | 语 4 | 换 5 | 顾 6 | 博 7 | 托 8 | 恩 9 | 

补 : 换 0 | 博 1 | 黑 2 | 恩 3 | 找 4 | 澳 5 | 括 6 | 夜 7 | 绝 8 | 死 9 | 

某 : 澳 0 | 夜 1 | 恩 2 | 死 3 | 博 4 | 材 5 | 换 6 | 扬 7 | 黑 8 | 威 9 | 

夏 : 材 0 | 扬 1 | 死 2 | 威 3 | 夜 4 | 征 5 | 澳 6 | 木 7 | 恩 8 | 招 9 | 

束 : 征 0 | 木 1 | 威 2 | 招 3 | 扬 4 | 虽 5 | 材 6 | 绩 7 | 死 8 | 例 9 | 

汽 : 虽 0 | 绩 1 | 招 2 | 例 3 | 木 4 | 扶 5 | 征 6 | 脑 7 | 威 8 | 犯 9 | 

语 : 扶 0 | 脑 1 | 例 2 | 犯 3 | 绩 4 | 移 5 | 虽 6 | 障 7 | 招 8 | 洋 9 | 

污 : 移 0 | 障 1 | 犯 2 | 洋 3 | 脑 4 | 松 5 | 扶 6 | 探 7 | 例 8 | 歌 9 | 

觉 : 松 0 | 探 1 | 洋 2 | 歌 3 | 障 4 | 否 5 | 移 6 | 彻 7 | 犯 8 | 免 9 | 

宝 : 否 0 | 彻 1 | 歌 2 | 免 3 | 探 4 | 幅 5 | 松 6 | 韩 7 | 洋 8 | 伍 9 | 

署 : 幅 0 | 韩 1 | 免 2 | 伍 3 | 彻 4 | 诉 5 | 否 6 | 守 7 | 歌 8 | 署 9 | 

找 : 诉 0 | 守 1 | 伍 2 | 署 3 | 韩 4 | 顺 5 | 幅 6 | 纷 7 | 免 8 | 债 9 | 

卖 : 顺 0 | 纷 1 | 署 2 | 债 3 | 守 4 | 觉 5 | 诉 6 | 永 7 | 伍 8 | 岸 9 | 

歌 : 觉 0 | 永 1 | 债 2 | 岸 3 | 纷 4 | 疗 5 | 顺 6 | 练 7 | 署 8 | 假 9 | 

故 : 疗 0 | 练 1 | 岸 2 | 假 3 | 永 4 | 差 5 | 觉 6 | 舞 7 | 债 8 | 吉 9 | 

短 : 差 0 | 舞 1 | 假 2 | 吉 3 | 练 4 | 毛 5 | 疗 6 | 贯 7 | 岸 8 | 贵 9 | 

奋 : 毛 0 | 贯 1 | 吉 2 | 贵 3 | 舞 4 | 朱 5 | 差 6 | 束 7 | 假 8 | 秀 9 | 

幕 : 朱 0 | 束 1 | 贵 2 | 秀 3 | 贯 4 | 库 5 | 毛 6 | 坦 7 | 吉 8 | 停 9 | 

博 : 库 0 | 坦 1 | 秀 2 | 停 3 | 束 4 | 短 5 | 朱 6 | 映 7 | 贵 8 | 缺 9 | 

染 : 短 0 | 映 1 | 停 2 | 缺 3 | 坦 4 | 喜 5 | 库 6 | 血 7 | 秀 8 | 湾 9 | 

坦 : 喜 0 | 血 1 | 缺 2 | 湾 3 | 映 4 | 退 5 | 短 6 | 鲜 7 | 停 8 | 罪 9 | 

藏 : 退 0 | 鲜 1 | 湾 2 | 罪 3 | 血 4 | 街 5 | 喜 6 | 塔 7 | 缺 8 | 序 9 | 

洋 : 街 0 | 塔 1 | 罪 2 | 序 3 | 鲜 4 | ／ 5 | 退 6 | 述 7 | 湾 8 | 妇 9 | 

血 : ／ 0 | 述 1 | 序 2 | 妇 3 | 塔 4 | 店 5 | 街 6 | 补 7 | 罪 8 | 卖 9 | 

笔 : 店 0 | 补 1 | 妇 2 | 卖 3 | 述 4 | 艰 5 | ／ 6 | 奥 7 | 序 8 | 雷 9 | 

舞 : 艰 0 | 奥 1 | 卖 2 | 雷 3 | 补 4 | 拿 5 | 店 6 | 宝 7 | 妇 8 | 绿 9 | 

黑 : 拿 0 | 宝 1 | 雷 2 | 绿 3 | 奥 4 | 细 5 | 艰 6 | 笔 7 | 卖 8 | 毒 9 | 

甚 : 细 0 | 笔 1 | 绿 2 | 毒 3 | 宝 4 | 吸 5 | 拿 6 | 测 7 | 雷 8 | 鼓 9 | 

死 : 吸 0 | 测 1 | 毒 2 | 鼓 3 | 笔 4 | 呼 5 | 细 6 | 朝 7 | 绿 8 | 败 9 | 

贵 : 呼 0 | 朝 1 | 鼓 2 | 败 3 | 测 4 | 男 5 | 吸 6 | 登 7 | 毒 8 | 汽 9 | 

脱 : 男 0 | 登 1 | 败 2 | 汽 3 | 朝 4 | 课 5 | 呼 6 | 怀 7 | 鼓 8 | 签 9 | 

桥 : 课 0 | 怀 1 | 汽 2 | 签 3 | 登 4 | 楼 5 | 男 6 | 录 7 | 败 8 | 归 9 | 

左 : 楼 0 | 录 1 | 签 2 | 归 3 | 怀 4 | 贡 5 | 课 6 | 典 7 | 汽 8 | 授 9 | 

扶 : 贡 0 | 典 1 | 归 2 | 授 3 | 录 4 | 固 5 | 楼 6 | 彩 7 | 签 8 | 菜 9 | 

守 : 固 0 | 彩 1 | 授 2 | 菜 3 | 典 4 | 堂 5 | 贡 6 | 筑 7 | 归 8 | 胡 9 | 

赞 : 堂 0 | 筑 1 | 菜 2 | 胡 3 | 彩 4 | 森 5 | 固 6 | 援 7 | 授 8 | 杨 9 | 

斤 : 森 0 | 援 1 | 胡 2 | 杨 3 | 筑 4 | 轮 5 | 堂 6 | 筹 7 | 菜 8 | 奇 9 | 

岸 : 轮 0 | 筹 1 | 杨 2 | 奇 3 | 援 4 | 瑞 5 | 森 6 | 厅 7 | 胡 8 | 赞 9 | 

菜 : 瑞 0 | 厅 1 | 奇 2 | 赞 3 | 筹 4 | 兼 5 | 轮 6 | 脱 7 | 杨 8 | 诺 9 | 

储 : 兼 0 | 脱 1 | 赞 2 | 诺 3 | 厅 4 | 综 5 | 瑞 6 | 繁 7 | 奇 8 | 励 9 | 

债 : 综 0 | 繁 1 | 诺 2 | 励 3 | 脱 4 | 尚 5 | 兼 6 | 川 7 | 赞 8 | 付 9 | 

救 : 尚 0 | 川 1 | 励 2 | 付 3 | 繁 4 | 母 5 | 综 6 | 甚 7 | 诺 8 | 幕 9 | 

拥 : 母 0 | 甚 1 | 付 2 | 幕 3 | 川 4 | 植 5 | 尚 6 | 童 7 | 励 8 | 延 9 | 

测 : 植 0 | 童 1 | 幕 2 | 延 3 | 甚 4 | 套 5 | 母 6 | 污 7 | 付 8 | 谢 9 | 

握 : 套 0 | 污 1 | 延 2 | 谢 3 | 童 4 | 左 5 | 植 6 | 拥 7 | 幕 8 | 盛 9 | 

付 : 左 0 | 拥 1 | 谢 2 | 盛 3 | 污 4 | 追 5 | 套 6 | 染 7 | 延 8 | 船 9 | 

季 : 追 0 | 染 1 | 盛 2 | 船 3 | 拥 4 | 鲁 5 | 左 6 | 角 7 | 谢 8 | 桥 9 | 

软 : 鲁 0 | 角 1 | 船 2 | 桥 3 | 染 4 | 伤 5 | 追 6 | 右 7 | 盛 8 | 申 9 | 

鼓 : 伤 0 | 右 1 | 桥 2 | 申 3 | 角 4 | 秘 5 | 鲁 6 | 岛 7 | 船 8 | 输 9 | 

右 : 秘 0 | 岛 1 | 申 2 | 输 3 | 右 4 | 叶 5 | 伤 6 | 季 7 | 桥 8 | 禁 9 | 

杂 : 叶 0 | 季 1 | 输 2 | 禁 3 | 岛 4 | 泰 5 | 秘 6 | 遍 7 | 申 8 | 乱 9 | 

秋 : 泰 0 | 遍 1 | 禁 2 | 乱 3 | 季 4 | 键 5 | 叶 6 | 握 7 | 输 8 | 夏 9 | 

岛 : 键 0 | 握 1 | 乱 2 | 夏 3 | 遍 4 | 雪 5 | 泰 6 | 齐 7 | 禁 8 | 吴 9 | 

借 : 雪 0 | 齐 1 | 夏 2 | 吴 3 | 握 4 | 旗 5 | 键 6 | 津 7 | 乱 8 | 播 9 | 

援 : 旗 0 | 津 1 | 吴 2 | 播 3 | 齐 4 | 乎 5 | 雪 6 | 散 7 | 夏 8 | 借 9 | 

涉 : 乎 0 | 散 1 | 播 2 | 借 3 | 津 4 | 峰 5 | 旗 6 | 亩 7 | 吴 8 | 简 9 | 

∶ : 峰 0 | 亩 1 | 借 2 | 简 3 | 散 4 | 陆 5 | 乎 6 | 宏 7 | 播 8 | 瓦 9 | 

般 : 陆 0 | 宏 1 | 简 2 | 瓦 3 | 亩 4 | 酒 5 | 峰 6 | 迅 7 | 借 8 | 曲 9 | 

累 : 酒 0 | 迅 1 | 瓦 2 | 曲 3 | 宏 4 | 暴 5 | 陆 6 | ∶ 7 | 简 8 | 攻 9 | 

谢 : 暴 0 | ∶ 1 | 曲 2 | 攻 3 | 迅 4 | 钟 5 | 酒 6 | ℃ 7 | 瓦 8 | 杂 9 | 

曼 : 钟 0 | ℃ 1 | 攻 2 | 杂 3 | ∶ 4 | 般 5 | 暴 6 | 萨 7 | 曲 8 | 吨 9 | 

课 : 般 0 | 萨 1 | 杂 2 | 吨 3 | ℃ 4 | 鹏 5 | 钟 6 | 泛 7 | 攻 8 | 沿 9 | 

禁 : 鹏 0 | 泛 1 | 吨 2 | 沿 3 | 萨 4 | 途 5 | 般 6 | 孙 7 | 杂 8 | 潮 9 | 

尤 : 途 0 | 孙 1 | 沿 2 | 潮 3 | 泛 4 | 雄 5 | 鹏 6 | 累 7 | 吨 8 | 毕 9 | 

挑 : 雄 0 | 累 1 | 潮 2 | 毕 3 | 孙 4 | 智 5 | 途 6 | 裁 7 | 沿 8 | 似 9 | 

兼 : 智 0 | 裁 1 | 毕 2 | 似 3 | 累 4 | 倒 5 | 雄 6 | 储 7 | 潮 8 | 莫 9 | 

戏 : 倒 0 | 储 1 | 似 2 | 莫 3 | 裁 4 | 杯 5 | 智 6 | 券 7 | 毕 8 | 冷 9 | 

恢 : 杯 0 | 券 1 | 莫 2 | 冷 3 | 储 4 | 旧 5 | 倒 6 | 订 7 | 似 8 | 夺 9 | 

拓 : 旧 0 | 订 1 | 冷 2 | 夺 3 | 券 4 | 择 5 | 杯 6 | 矿 7 | 莫 8 | 勇 9 | 

役 : 择 0 | 矿 1 | 夺 2 | 勇 3 | 订 4 | 启 5 | 旧 6 | 塞 7 | 冷 8 | 饭 9 | 

封 : 启 0 | 塞 1 | 勇 2 | 饭 3 | 矿 4 | 跨 5 | 择 6 | 涉 7 | 夺 8 | 蒙 9 | 

块 : 跨 0 | 涉 1 | 饭 2 | 蒙 3 | 塞 4 | 玉 5 | 启 6 | 怎 7 | 勇 8 | 浪 9 | 

杰 : 玉 0 | 怎 1 | 蒙 2 | 浪 3 | 涉 4 | 勒 5 | 跨 6 | 答 7 | 饭 8 | 赶 9 | 

振 : 勒 0 | 答 1 | 浪 2 | 赶 3 | 怎 4 | 尤 5 | 玉 6 | 味 7 | 蒙 8 | 汛 9 | 

灵 : 尤 0 | 味 1 | 赶 2 | 汛 3 | 答 4 | 恢 5 | 勒 6 | 拓 7 | 浪 8 | 祝 9 | 

裁 : 恢 0 | 拓 1 | 汛 2 | 祝 3 | 味 4 | 挑 5 | 尤 6 | 丽 7 | 赶 8 | 锦 9 | 

误 : 挑 0 | 丽 1 | 祝 2 | 锦 3 | 拓 4 | 勤 5 | 恢 6 | 谁 7 | 汛 8 | 父 9 | 

架 : 勤 0 | 谁 1 | 锦 2 | 父 3 | 丽 4 | 刊 5 | 挑 6 | 析 7 | 祝 8 | 钢 9 | 

伤 : 刊 0 | 析 1 | 父 2 | 钢 3 | 谁 4 | 宗 5 | 勤 6 | 仪 7 | 锦 8 | 趋 9 | 

瑞 : 宗 0 | 仪 1 | 钢 2 | 趋 3 | 析 4 | 哥 5 | 刊 6 | 盘 7 | 父 8 | 封 9 | 

宗 : 哥 0 | 盘 1 | 趋 2 | 封 3 | 仪 4 | 诗 5 | 宗 6 | 休 7 | 钢 8 | 振 9 | 

疑 : 诗 0 | 休 1 | 封 2 | 振 3 | 盘 4 | 阵 5 | 哥 6 | 灵 7 | 趋 8 | 冠 9 | 

雪 : 阵 0 | 灵 1 | 振 2 | 冠 3 | 休 4 | 伦 5 | 诗 6 | 哪 7 | 封 8 | 亮 9 | 

盖 : 伦 0 | 哪 1 | 冠 2 | 亮 3 | 灵 4 | 背 5 | 阵 6 | 篇 7 | 振 8 | 纸 9 | 

谁 : 背 0 | 篇 1 | 亮 2 | 纸 3 | 哪 4 | 黎 5 | 伦 6 | 庄 7 | 冠 8 | 誉 9 | 

亮 : 黎 0 | 庄 1 | 纸 2 | 誉 3 | 篇 4 | 震 5 | 背 6 | 符 7 | 亮 8 | 邮 9 | 

庄 : 震 0 | 符 1 | 誉 2 | 邮 3 | 庄 4 | 衣 5 | 黎 6 | 丹 7 | 纸 8 | 露 9 | 

伯 : 衣 0 | 丹 1 | 邮 2 | 露 3 | 符 4 | 虑 5 | 震 6 | 抵 7 | 誉 8 | 块 9 | 

仪 : 虑 0 | 抵 1 | 露 2 | 块 3 | 丹 4 | 叫 5 | 衣 6 | 寻 7 | 邮 8 | 挂 9 | 

野 : 叫 0 | 寻 1 | 块 2 | 挂 3 | 抵 4 | 赵 5 | 虑 6 | 览 7 | 露 8 | 络 9 | 

宽 : 赵 0 | 览 1 | 挂 2 | 络 3 | 寻 4 | 野 5 | 叫 6 | 厚 7 | 块 8 | 麦 9 | 

冬 : 野 0 | 厚 1 | 络 2 | 麦 3 | 览 4 | 埃 5 | 赵 6 | 掌 7 | 挂 8 | 扎 9 | 

径 : 埃 0 | 掌 1 | 麦 2 | 扎 3 | 厚 4 | 迹 5 | 野 6 | 微 7 | 络 8 | 异 9 | 

渐 : 迹 0 | 微 1 | 扎 2 | 异 3 | 掌 4 | ’ 5 | 埃 6 | 戏 7 | 麦 8 | 遭 9 | 

邦 : ’ 0 | 戏 1 | 异 2 | 遭 3 | 微 4 | 坏 5 | 迹 6 | 聚 7 | 扎 8 | 昌 9 | 

瓦 : 坏 0 | 聚 1 | 遭 2 | 昌 3 | 戏 4 | 棋 5 | ’ 6 | 牛 7 | 异 8 | 赴 9 | 

偿 : 棋 0 | 牛 1 | 昌 2 | 赴 3 | 聚 4 | 鱼 5 | 坏 6 | 错 7 | 遭 8 | 杰 9 | 

萨 : 鱼 0 | 错 1 | 赴 2 | 杰 3 | 牛 4 | 邀 5 | 棋 6 | 患 7 | 昌 8 | 遗 9 | 

摆 : 邀 0 | 患 1 | 杰 2 | 遗 3 | 错 4 | 悉 5 | 鱼 6 | 盾 7 | 赴 8 | 冬 9 | 

暴 : 悉 0 | 盾 1 | 遗 2 | 冬 3 | 患 4 | 误 5 | 邀 6 | 残 7 | 杰 8 | 辆 9 | 

跃 : 误 0 | 残 1 | 冬 2 | 辆 3 | 盾 4 | 坐 5 | 悉 6 | 弱 7 | 遗 8 | 礼 9 | 

鹏 : 坐 0 | 弱 1 | 辆 2 | 礼 3 | 残 4 | 尊 5 | 误 6 | 腐 7 | 冬 8 | 疑 9 | 

徐 : 尊 0 | 腐 1 | 礼 2 | 疑 3 | 弱 4 | 伯 5 | 坐 6 | 杜 7 | 辆 8 | 含 9 | 

疾 : 伯 0 | 杜 1 | 疑 2 | 含 3 | 腐 4 | 概 5 | 尊 6 | 朗 7 | 礼 8 | 架 9 | 

偏 : 概 0 | 朗 1 | 含 2 | 架 3 | 杜 4 | 摆 5 | 伯 6 | 射 7 | 疑 8 | 谋 9 | 

微 : 摆 0 | 射 1 | 架 2 | 谋 3 | 朗 4 | 壮 5 | 概 6 | 惠 7 | 含 8 | 董 9 | 

析 : 壮 0 | 惠 1 | 谋 2 | 董 3 | 射 4 | 斤 5 | 摆 6 | 宾 7 | 架 8 | 宽 9 | 

勤 : 斤 0 | 宾 1 | 董 2 | 宽 3 | 惠 4 | 邦 5 | 壮 6 | 卢 7 | 谋 8 | 徐 9 | 

叫 : 邦 0 | 卢 1 | 宽 2 | 徐 3 | 宾 4 | 疾 5 | 斤 6 | 罚 7 | 董 8 | 笑 9 | 

避 : 疾 0 | 罚 1 | 徐 2 | 笑 3 | 卢 4 | 缓 5 | 邦 6 | 梅 7 | 宽 8 | 棉 9 | 

邀 : 缓 0 | 梅 1 | 笑 2 | 棉 3 | 罚 4 | 伴 5 | 疾 6 | 秋 7 | 徐 8 | 软 9 | 

尊 : 伴 0 | 秋 1 | 棉 2 | 软 3 | 梅 4 | 避 5 | 缓 6 | 诚 7 | 笑 8 | 佳 9 | 

佳 : 避 0 | 诚 1 | 软 2 | 佳 3 | 秋 4 | 迫 5 | 伴 6 | 板 7 | 棉 8 | 伙 9 | 

抵 : 迫 0 | 板 1 | 佳 2 | 伙 3 | 诚 4 | 莱 5 | 避 6 | 辉 7 | 软 8 | 熟 9 | 

阵 : 莱 0 | 辉 1 | 伙 2 | 熟 3 | 板 4 | 唱 5 | 迫 6 | 径 7 | 佳 8 | 亏 9 | 

坐 : 唱 0 | 径 1 | 熟 2 | 亏 3 | 辉 4 | Ａ 5 | 莱 6 | 竟 7 | 伙 8 | 赠 9 | 

伐 : Ａ 0 | 竟 1 | 亏 2 | 赠 3 | 径 4 | 忘 5 | 唱 6 | 煤 7 | 熟 8 | 乌 9 | 

欠 : 忘 0 | 煤 1 | 赠 2 | 乌 3 | 竟 4 | 宜 5 | Ａ 6 | 锋 7 | 亏 8 | 呢 9 | 

牛 : 宜 0 | 锋 1 | 乌 2 | 呢 3 | 煤 4 | 忠 5 | 忘 6 | 唐 7 | 赠 8 | 拍 9 | 

