。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 
宽 : 赵 0 | 览 1 | 挂 2 | 络 3 | 寻 4 | 

冬 : 野 0 | 厚 1 | 络 2 | 麦 3 | 览 4 | 

径 : 埃 0 | 掌 1 | 麦 2 | 扎 3 | 厚 4 | 

渐 : 迹 0 | 微 1 | 扎 2 | 异 3 | 掌 4 | 

邦 : ’ 0 | 戏 1 | 异 2 | 遭 3 | 微 4 | 

瓦 : 坏 0 | 聚 1 | 遭 2 | 昌 3 | 戏 4 | 

偿 : 棋 0 | 牛 1 | 昌 2 | 赴 3 | 聚 4 | 

萨 : 鱼 0 | 错 1 | 赴 2 | 杰 3 | 牛 4 | 

摆 : 邀 0 | 患 1 | 杰 2 | 遗 3 | 错 4 | 

暴 : 悉 0 | 盾 1 | 遗 2 | 冬 3 | 患 4 | 

跃 : 误 0 | 残 1 | 冬 2 | 辆 3 | 盾 4 | 

鹏 : 坐 0 | 弱 1 | 辆 2 | 礼 3 | 残 4 | 

徐 : 尊 0 | 腐 1 | 礼 2 | 疑 3 | 弱 4 | 

疾 : 伯 0 | 杜 1 | 疑 2 | 含 3 | 腐 4 | 

偏 : 概 0 | 朗 1 | 含 2 | 架 3 | 杜 4 | 

微 : 摆 0 | 射 1 | 架 2 | 谋 3 | 朗 4 | 

析 : 壮 0 | 惠 1 | 谋 2 | 董 3 | 射 4 | 

勤 : 斤 0 | 宾 1 | 董 2 | 宽 3 | 惠 4 | 

叫 : 邦 0 | 卢 1 | 宽 2 | 徐 3 | 宾 4 | 

避 : 疾 0 | 罚 1 | 徐 2 | 笑 3 | 卢 4 | 

邀 : 缓 0 | 梅 1 | 笑 2 | 棉 3 | 罚 4 | 

尊 : 伴 0 | 秋 1 | 棉 2 | 软 3 | 梅 4 | 

佳 : 避 0 | 诚 1 | 软 2 | 佳 3 | 秋 4 | 

抵 : 迫 0 | 板 1 | 佳 2 | 伙 3 | 诚 4 | 

阵 : 莱 0 | 辉 1 | 伙 2 | 熟 3 | 板 4 | 

坐 : 唱 0 | 径 1 | 熟 2 | 亏 3 | 辉 4 | 

伐 : Ａ 0 | 竟 1 | 亏 2 | 赠 3 | 径 4 | 

欠 : 忘 0 | 煤 1 | 赠 2 | 乌 3 | 竟 4 | 

牛 : 宜 0 | 锋 1 | 乌 2 | 呢 3 | 煤 4 | 

乌 : 忠 0 | 唐 1 | 呢 2 | 拍 3 | 锋 4 | 

迹 : 端 0 | 静 1 | 拍 2 | 句 3 | 唐 4 | 

邮 : 偿 0 | 盖 1 | 句 2 | 渐 3 | 静 4 | 

硬 : 若 0 | 贝 1 | 渐 2 | 折 3 | 盖 4 | 

缩 : 透 0 | 沃 1 | 折 2 | 屋 3 | 贝 4 | 

词 : 脚 0 | 辽 1 | 屋 2 | 胞 3 | 沃 4 | 

遗 : 恶 0 | 硬 1 | 胞 2 | 姓 3 | 辽 4 | 

穿 : 沈 0 | 跃 1 | 姓 2 | 怕 3 | 硬 4 | 

朋 : 烟 0 | 穿 1 | 怕 2 | 距 3 | 跃 4 | 

屋 : 载 0 | 虎 1 | 距 2 | 沉 3 | 穿 4 | 

患 : 朋 0 | 顶 1 | 沉 2 | 肯 3 | 虎 4 | 

零 : 涛 0 | 皮 1 | 肯 2 | 洁 3 | 顶 4 | 

皮 : 账 0 | 郑 1 | 洁 2 | 偏 3 | 皮 4 | 

昌 : 享 0 | 矛 1 | 偏 2 | 坡 3 | 郑 4 | 

拔 : 操 0 | 洛 1 | 坡 2 | 惊 3 | 矛 4 | 

册 : 潜 0 | 附 1 | 惊 2 | 廉 3 | 洛 4 | 

敢 : 疆 0 | 敬 1 | 廉 2 | 龄 3 | 附 4 | 

衣 : 荒 0 | 纽 1 | 龄 2 | 殊 3 | 敬 4 | 

弹 : 乘 0 | 珍 1 | 殊 2 | 牙 3 | 纽 4 | 

翻 : 凡 0 | 询 1 | 牙 2 | 牧 3 | 珍 4 | 

洛 : 跌 0 | 租 1 | 牧 2 | 倍 3 | 询 4 | 

媒 : 冰 0 | 亡 1 | 倍 2 | 梁 3 | 租 4 | 

轨 : 册 0 | 骨 1 | 梁 2 | 撤 3 | 亡 4 | 

痛 : 翻 0 | 痛 1 | 撤 2 | 奉 3 | 骨 4 | 

截 : 闭 0 | 幸 1 | 奉 2 | 弹 3 | 痛 4 | 

洁 : 词 0 | 刑 1 | 弹 2 | 灯 3 | 幸 4 | 

跟 : 跑 0 | 辛 1 | 灯 2 | 旦 3 | 刑 4 | 

董 : 晓 0 | 鉴 1 | 旦 2 | 唯 3 | 辛 4 | 

洞 : 敦 0 | 截 1 | 唯 2 | 敢 3 | 鉴 4 | 

句 : 箱 0 | 零 1 | 敢 2 | 墨 3 | 截 4 | 

掉 : 杀 0 | 纯 1 | 墨 2 | 忙 3 | 零 4 | 

麦 : 昨 0 | 缩 1 | 忙 2 | 迪 3 | 纯 4 | 

幸 : 贺 0 | 媒 1 | 迪 2 | 弟 3 | 缩 4 | 

赴 : 耕 0 | 舍 1 | 弟 2 | 隆 3 | 媒 4 | 

卷 : 奔 0 | 估 1 | 隆 2 | 衡 3 | 舍 4 | 

疆 : 拔 0 | 丁 1 | 衡 2 | 渠 3 | 估 4 | 

触 : 洞 0 | 泉 1 | 渠 2 | 井 3 | 丁 4 | 

乏 : 桑 0 | 卷 1 | 井 2 | 乏 3 | 泉 4 | 

末 : 慰 0 | 跟 1 | 乏 2 | 倾 3 | 卷 4 | 

浙 : 掉 0 | 浙 1 | 倾 2 | 雅 3 | 跟 4 | 

稻 : 肉 0 | 泥 1 | 雅 2 | 贴 3 | 浙 4 | 

械 : 迷 0 | 肃 1 | 贴 2 | 滨 3 | 泥 4 | 

珠 : 谷 0 | 阔 1 | 滨 2 | 爆 3 | 肃 4 | 

谊 : 侵 0 | 趣 1 | 爆 2 | 伐 3 | 阔 4 | 

遵 : 姆 0 | 绕 1 | 伐 2 | 末 3 | 趣 4 | 

贴 : 冒 0 | 宫 1 | 末 2 | 润 3 | 绕 4 | 

润 : 触 0 | 晨 1 | 润 2 | Ｃ 3 | 宫 4 | 

估 : 妈 0 | ‘ 1 | Ｃ 2 | 戴 3 | 晨 4 | 

返 : 醒 0 | 谊 1 | 戴 2 | 钦 3 | ‘ 4 | 

覆 : 肥 0 | 忧 1 | 钦 2 | 赏 3 | 谊 4 | 

净 : 曼 0 | 阴 1 | 赏 2 | 徽 3 | 忧 4 | 

茶 : 拨 0 | 梦 1 | 徽 2 | 恐 3 | 阴 4 | 

醒 : 暖 0 | 净 1 | 恐 2 | 毁 3 | 梦 4 | 

柬 : 珠 0 | 餐 1 | 毁 2 | 涌 3 | 净 4 | 

宪 : 疫 0 | 茶 1 | 涌 2 | 甲 3 | 餐 4 | 

杯 : 滑 0 | 涨 1 | 甲 2 | 返 3 | 茶 4 | 

塑 : 篮 0 | 抽 1 | 返 2 | 宋 3 | 涨 4 | 

弃 : 辞 0 | 圳 1 | 宋 2 | 穷 3 | 抽 4 | 

贝 : 昆 0 | 拒 1 | 穷 2 | 摩 3 | 圳 4 | 

灯 : 圣 0 | 窗 1 | 摩 2 | 洗 3 | 拒 4 | 

胞 : 跳 0 | 荡 1 | 洗 2 | 毫 3 | 窗 4 | 

混 : 诸 0 | 倡 1 | 毫 2 | 劲 3 | 荡 4 | 

迈 : 侨 0 | 塑 1 | 劲 2 | 履 3 | 倡 4 | 

诸 : 谓 0 | 甘 1 | 履 2 | 弃 3 | 塑 4 | 

贺 : 峡 0 | 轨 1 | 弃 2 | 佩 3 | 甘 4 | 

灌 : 档 0 | 赢 1 | 佩 2 | 旱 3 | 轨 4 | 

铺 : 佛 0 | 羊 1 | 旱 2 | 默 3 | 赢 4 | 

℃ : 稿 0 | 虚 1 | 默 2 | 纺 3 | 羊 4 | 

薄 : 圆 0 | 赖 1 | 纺 2 | 凝 3 | 虚 4 | 

横 : 菲 0 | 彭 1 | 凝 2 | 吁 3 | 赖 4 | 

旨 : 聘 0 | 迈 1 | 吁 2 | 墙 3 | 彭 4 | 

钦 : 漫 0 | 废 1 | 墙 2 | 秩 3 | 迈 4 | 

扣 : 遵 0 | 浩 1 | 秩 2 | 欣 3 | 废 4 | 

寨 : 慢 0 | 阻 1 | 欣 2 | 貌 3 | 浩 4 | 

暖 : 炼 0 | Ｄ 1 | 貌 2 | 渡 3 | 阻 4 | 

垃 : 祥 0 | 丝 1 | 渡 2 | 迟 3 | Ｄ 4 | 

弟 : 楚 0 | 吗 1 | 迟 2 | 呈 3 | 丝 4 | 

惯 : 邻 0 | 仁 1 | 呈 2 | 凭 3 | 吗 4 | 

桑 : 释 0 | 纠 1 | 凭 2 | 荷 3 | 仁 4 | 

聘 : 沟 0 | 迁 1 | 荷 2 | 旨 3 | 纠 4 | 

帜 : 寒 0 | 耳 1 | 旨 2 | 堡 3 | 迁 4 | 

赠 : 籍 0 | 劣 1 | 堡 2 | 哲 3 | 耳 4 | 

奔 : 坛 0 | 饮 1 | 哲 2 | 厦 3 | 劣 4 | 

皇 : 蓝 0 | 敏 1 | 厦 2 | 淮 3 | 饮 4 | 

凭 : 麻 0 | 番 1 | 淮 2 | 峻 3 | 敏 4 | 

疫 : 舆 0 | 殖 1 | 峻 2 | 蓄 3 | 番 4 | 

冒 : 氛 0 | 猪 1 | 蓄 2 | 摊 3 | 殖 4 | 

浩 : 宪 0 | 妻 1 | 摊 2 | 耶 3 | 猪 4 | 

暂 : 赫 0 | 袋 1 | 耶 2 | 横 3 | 妻 4 | 

旁 : 薄 0 | 揭 1 | 横 2 | 豪 3 | 袋 4 | 

煌 : 械 0 | 胁 1 | 豪 2 | 循 3 | 揭 4 | 

默 : 巡 0 | 崇 1 | 循 2 | 坝 3 | 胁 4 | 

滑 : 乃 0 | 勃 1 | 坝 2 | 频 3 | 崇 4 | 

淡 : 阅 0 | 浓 1 | 频 2 | 缴 3 | 勃 4 | 

揭 : 混 0 | 炸 1 | 缴 2 | 旬 3 | 浓 4 | 

楚 : 阁 0 | 扣 1 | 旬 2 | 灭 3 | 炸 4 | 

迷 : 辖 0 | 赔 1 | 灭 2 | 苗 3 | 扣 4 | 

菲 : 诞 0 | 岚 1 | 苗 2 | 嫩 3 | 赔 4 | 

晴 : 旺 0 | 脸 1 | 嫩 2 | 喝 3 | 岚 4 | 

墨 : 颁 0 | 辑 1 | 喝 2 | 宇 3 | 脸 4 | 

旬 : 俗 0 | 拼 1 | 宇 2 | 抱 3 | 辑 4 | 

忧 : 泪 0 | 汗 1 | 抱 2 | 旁 3 | 拼 4 | 

扰 : 皇 0 | 晴 1 | 旁 2 | 陷 3 | 汗 4 | 

蓄 : 俱 0 | 柏 1 | 陷 2 | 姐 3 | 晴 4 | 

漏 : 惯 0 | 床 1 | 姐 2 | 胆 3 | 柏 4 | 

蒂 : 辈 0 | 敌 1 | 胆 2 | 燃 3 | 床 4 | 

浓 : 猛 0 | 栏 1 | 燃 2 | 搏 3 | 敌 4 | 

捕 : 毅 0 | 鸡 1 | 搏 2 | Ｂ 3 | 栏 4 | 

滨 : 陕 0 | 拖 1 | Ｂ 2 | 渔 3 | 鸡 4 | 

徒 : 颇 0 | 宅 1 | 渔 2 | 暂 3 | 拖 4 | 

佩 : 郭 0 | 贬 1 | 暂 2 | 俊 3 | 宅 4 | 

乃 : 枪 0 | 帜 1 | 俊 2 | 艾 3 | 贬 4 | 

陪 : 忽 0 | 穆 1 | 艾 2 | 柱 3 | 帜 4 | 

圣 : 替 0 | 徒 1 | 柱 2 | 陶 3 | 穆 4 | 

旱 : 役 0 | 晤 1 | 陶 2 | 朴 3 | 徒 4 | 

篮 : 秒 0 | 柬 1 | 朴 2 | 娘 3 | 晤 4 | 

盗 : 淡 0 | 牵 1 | 娘 2 | 潘 3 | 柬 4 | 

码 : 芳 0 | 铺 1 | 潘 2 | 咨 3 | 牵 4 | 

朴 : 桂 0 | 您 1 | 咨 2 | 诊 3 | 铺 4 | 

焦 : 寄 0 | 嘉 1 | 诊 2 | 摇 3 | 您 4 | 

纵 : 症 0 | 孔 1 | 摇 2 | 池 3 | 嘉 4 | 

懂 : 葡 0 | 烧 1 | 池 2 | 畅 3 | 孔 4 | 

纲 : 鸟 0 | 寨 1 | 畅 2 | 奏 3 | 烧 4 | 

毅 : 吧 0 | 兑 1 | 奏 2 | 辟 3 | 寨 4 | 

抱 : 浮 0 | 递 1 | 辟 2 | 厉 3 | 兑 4 | 

汗 : 婚 0 | 允 1 | 厉 2 | 饱 3 | 递 4 | 

饱 : 畜 0 | 凌 1 | 饱 2 | 挖 3 | 允 4 | 

闲 : 纲 0 | 刺 1 | 挖 2 | 忆 3 | 凌 4 | 

甲 : 犹 0 | 粉 1 | 忆 2 | 码 3 | 刺 4 | 

肩 : 腾 0 | 懂 1 | 码 2 | 袭 3 | 粉 4 | 

阴 : 欠 0 | 妥 1 | 袭 2 | 惜 3 | 懂 4 | 

泡 : 牢 0 | 夕 1 | 惜 2 | 廷 3 | 妥 4 | 

畜 : 秦 0 | 盈 1 | 廷 2 | 肩 3 | 夕 4 | 

辈 : 踏 0 | 胀 1 | 肩 2 | 蒋 3 | 盈 4 | 

袁 : 碑 0 | 裂 1 | 蒋 2 | 裕 3 | 胀 4 | 

俱 : 赤 0 | 钅 1 | 裕 2 | 堵 3 | 裂 4 | 

侨 : 陪 0 | 驶 1 | 堵 2 | 贾 3 | 钅 4 | 

芬 : 刀 0 | 幼 1 | 贾 2 | 扫 3 | 驶 4 | 

姐 : 挤 0 | 奶 1 | 扫 2 | 煌 3 | 幼 4 | 

旋 : 寿 0 | 蔬 1 | 煌 2 | 漠 3 | 奶 4 | 

嫌 : 隔 0 | 玩 1 | 漠 2 | 碍 3 | 蔬 4 | 

袭 : 捕 0 | 晋 1 | 碍 2 | 搬 3 | 玩 4 | 

雕 : 舰 0 | 逃 1 | 搬 2 | 覆 3 | 晋 4 | 

池 : 鸣 0 | 剂 1 | 覆 2 | 镜 3 | 逃 4 | 

慰 : 隐 0 | 辩 1 | 镜 2 | 闲 3 | 剂 4 | 

缔 : 滋 0 | 炮 1 | 闲 2 | 卓 3 | 辩 4 | 

仙 : 盗 0 | 瓜 1 | 卓 2 | 剩 3 | 炮 4 | 

妥 : 帕 0 | 彰 1 | 剩 2 | 缘 3 | 瓜 4 | 

妈 : 驾 0 | 侧 1 | 缘 2 | 悲 3 | 彰 4 | 

耶 : 盲 0 | 巩 1 | 悲 2 | 挪 3 | 侧 4 | 

隔 : 霍 0 | 耀 1 | 挪 2 | 拜 3 | 巩 4 | 

伸 : 伸 0 | 孤 1 | 拜 2 | 蒂 3 | 耀 4 | 

尾 : 妹 0 | 伪 1 | 蒂 2 | 吕 3 | 孤 4 | 

磨 : 稻 0 | 牲 1 | 吕 2 | 闹 3 | 伪 4 | 

凤 : 圈 0 | 慧 1 | 闹 2 | 旋 3 | 牲 4 | 

哲 : 焦 0 | 懈 1 | 旋 2 | 巧 3 | 慧 4 | 

汤 : 磨 0 | 竹 1 | 巧 2 | 氏 3 | 懈 4 | 

圈 : 泡 0 | 琛 1 | 氏 2 | 扰 3 | 竹 4 | 

腾 : 乔 0 | 灌 1 | 扰 2 | 铜 3 | 琛 4 | 

衷 : 雕 0 | 愈 1 | 铜 2 | 曹 3 | 灌 4 | 

凌 : 臣 0 | 割 1 | 曹 2 | 滩 3 | 愈 4 | 

柴 : 浦 0 | 陵 1 | 滩 2 | 贩 3 | 割 4 | 

霍 : Ｓ 0 | 郎 1 | 贩 2 | 衷 3 | 陵 4 | 

寄 : 凯 0 | 摸 1 | 衷 2 | 绪 3 | 郎 4 | 

夕 : 耗 0 | 恰 1 | 绪 2 | 郊 3 | 摸 4 | 

框 : 漏 0 | 汤 1 | 郊 2 | 榜 3 | 恰 4 | 

拟 : 岭 0 | 癌 1 | 榜 2 | 仓 3 | 汤 4 | 

仿 : 歧 0 | 泳 1 | 仓 2 | 岩 3 | 癌 4 | 

瓜 : 涵 0 | 姜 1 | 岩 2 | 垃 3 | 泳 4 | 

钻 : 琴 0 | 君 1 | 垃 2 | 添 3 | 姜 4 | 

驾 : 戈 0 | 丛 1 | 添 2 | 偷 3 | 君 4 | 

症 : 圾 0 | 岳 1 | 偷 2 | 纵 3 | 丛 4 | 

溪 : 柳 0 | 滚 1 | 纵 2 | 驱 3 | 岳 4 | 

淀 : 桌 0 | 舟 1 | 驱 2 | 贪 3 | 滚 4 | 

耗 : 惩 0 | 勘 1 | 贪 2 | 液 3 | 舟 4 | 

歧 : 孟 0 | 壁 1 | 液 2 | Ｉ 3 | 勘 4 | 

暗 : 啊 0 | 骗 1 | Ｉ 2 | 霞 3 | 壁 4 | 

涨 : 描 0 | 涝 1 | 霞 2 | Ｔ 3 | 骗 4 | 

昂 : 颗 0 | 弄 1 | Ｔ 2 | 剑 3 | 涝 4 | 

填 : 扭 0 | 欲 1 | 剑 2 | 枚 3 | 弄 4 | 

霞 : 舒 0 | 辅 1 | 枚 2 | 闪 3 | 欲 4 | 

飘 : 豆 0 | 鞋 1 | 闪 2 | 捷 3 | 辅 4 | 

欲 : 芬 0 | 锁 1 | 捷 2 | 湘 3 | 鞋 4 | 

糖 : 扑 0 | 绘 1 | 湘 2 | 搭 3 | 锁 4 | 

翼 : 仿 0 | 凤 1 | 搭 2 | 拆 3 | 绘 4 | 

乔 : 嫌 0 | 叙 1 | 拆 2 | 宿 3 | 凤 4 | 

扭 : 萄 0 | 溪 1 | 宿 2 | 耐 3 | 叙 4 | 

汛 : 滥 0 | 傅 1 | 耐 2 | 棚 3 | 溪 4 | 

稽 : 钻 0 | 叹 1 | 棚 2 | 戒 3 | 傅 4 | 

柳 : 尾 0 | 冯 1 | 戒 2 | 胸 3 | 叹 4 | 

萄 : 顽 0 | 颖 1 | 胸 2 | 斌 3 | 冯 4 | 

稀 : 粗 0 | 恒 1 | 斌 2 | Ｍ 3 | 颖 4 | 

赋 : 撒 0 | 蛋 1 | Ｍ 2 | 御 3 | 恒 4 | 

详 : 茂 0 | 帝 1 | 御 2 | 弘 3 | 蛋 4 | 

饰 : 兄 0 | 伏 1 | 弘 2 | 彼 3 | 帝 4 | 

踪 : 燕 0 | 堪 1 | 彼 2 | 娜 3 | 伏 4 | 

Ｏ : 暗 0 | 虫 1 | 娜 2 | 枝 3 | 堪 4 | 

巧 : 尝 0 | 姑 1 | 枝 2 | 遥 3 | 虫 4 | 

弄 : 兹 0 | 址 1 | 遥 2 | 荆 3 | 姑 4 | 

悠 : 爷 0 | 慎 1 | 荆 2 | 狂 3 | 址 4 | 

粗 : 湿 0 | 锡 1 | 狂 2 | 肖 3 | 慎 4 | 

烂 : 怪 0 | 详 1 | 肖 2 | 忍 3 | 锡 4 | 

恒 : 堆 0 | 炎 1 | 忍 2 | 妙 3 | 详 4 | 

描 : 疏 0 | 昂 1 | 妙 2 | 吹 3 | 炎 4 | 

御 : 丈 0 | 兆 1 | 吹 2 | 塘 3 | 昂 4 | 

译 : 逝 0 | 译 1 | 塘 2 | 押 3 | 兆 4 | 

锡 : 拟 0 | 埔 1 | 押 2 | 锻 3 | 译 4 | 

叹 : 韦 0 | 饰 1 | 锻 2 | 飘 3 | 埔 4 | 

慨 : 挺 0 | 牺 1 | 飘 2 | 尖 3 | 饰 4 | 

桌 : 闯 0 | 贤 1 | 尖 2 | 栽 3 | 牺 4 | 

刷 : 阐 0 | 填 1 | 栽 2 | 灰 3 | 贤 4 | 

Ｅ : 脏 0 | 膨 1 | 灰 2 | 磋 3 | 填 4 | 

炎 : 盐 0 | 锐 1 | 磋 2 | 魏 3 | 膨 4 | 

脉 : 滞 0 | 睛 1 | 魏 2 | 烂 3 | 锐 4 | 

孤 : 衰 0 | 亦 1 | 烂 2 | 怖 3 | 睛 4 | 

颜 : 奠 0 | 酸 1 | 怖 2 | 胶 3 | 亦 4 | 

骤 : 刷 0 | 摘 1 | 胶 2 | 狠 3 | 酸 4 | 

湘 : 寺 0 | 渊 1 | 狠 2 | 顷 3 | 摘 4 | 

漂 : 盼 0 | 削 1 | 顷 2 | 稀 3 | 渊 4 | 

拳 : 淘 0 | 杭 1 | 稀 2 | 硕 3 | 削 4 | 

帽 : 慨 0 | 魂 1 | 硕 2 | 掘 3 | 杭 4 | 

睛 : 悬 0 | Ｖ 1 | 掘 2 | 悄 3 | 魂 4 | 

魏 : Ｐ 0 | 冻 1 | 悄 2 | 凉 3 | Ｖ 4 | 

顷 : 炭 0 | 稽 1 | 凉 2 | 汰 3 | 冻 4 | 

辅 : 携 0 | 柴 1 | 汰 2 | 屏 3 | 稽 4 | 

柏 : 募 0 | 喊 1 | 屏 2 | 箭 3 | 柴 4 | 

冶 : 睡 0 | 悠 1 | 箭 2 | 汪 3 | 喊 4 | 

艇 : 脉 0 | 丧 1 | 汪 2 | 屈 3 | 悠 4 | 

蓬 : 仰 0 | ● 1 | 屈 2 | 偶 3 | 丧 4 | 

逢 : 疲 0 | 泊 1 | 偶 2 | 贿 3 | ● 4 | 

梯 : 株 0 | 盆 1 | 贿 2 | 垦 3 | 泊 4 | 

苍 : 腰 0 | 玛 1 | 垦 2 | 艇 3 | 盆 4 | 

锻 : 轰 0 | 蔡 1 | 艇 2 | 晶 3 | 玛 4 | 

亭 : 棵 0 | 漂 1 | 晶 2 | 娃 3 | 蔡 4 | 

揽 : 姿 0 | 赋 1 | 娃 2 | 逢 3 | 漂 4 | 

屈 : 莲 0 | 罕 1 | 逢 2 | 唤 3 | 赋 4 | 

屏 : 翼 0 | 柜 1 | 唤 2 | 攀 3 | 罕 4 | 

虾 : 糖 0 | 尘 1 | 攀 2 | 壤 3 | 柜 4 | 

砍 : 弊 0 | 邹 1 | 壤 2 | 氧 3 | 尘 4 | 

饲 : 吐 0 | 袁 1 | 氧 2 | 逼 3 | 邹 4 | 

冻 : 玲 0 | 庙 1 | 逼 2 | 踪 3 | 袁 4 | 

披 : 慕 0 | 墓 1 | 踪 2 | 撑 3 | 庙 4 | 

丈 : 艳 0 | 锭 1 | 撑 2 | 抛 3 | 墓 4 | 

娜 : 厄 0 | 饲 1 | 抛 2 | 鹿 3 | 锭 4 | 

琛 : 仔 0 | 锅 1 | 鹿 2 | 鸿 3 | 饲 4 | 

盼 : 淹 0 | 谨 1 | 鸿 2 | 丢 3 | 锅 4 | 

闯 : 嘴 0 | 庞 1 | 丢 2 | 卿 3 | 谨 4 | 

玛 : 荐 0 | 埋 1 | 卿 2 | 框 3 | 庞 4 | 

嘴 : 插 0 | 苍 1 | 框 2 | 浸 3 | 埋 4 | 

胸 : 娱 0 | 函 1 | 浸 2 | 蓬 3 | 苍 4 | 

烦 : 垸 0 | 桃 1 | 蓬 2 | 瞩 3 | 函 4 | 

聪 : 怨 0 | 砖 1 | 瞩 2 | 篷 3 | 桃 4 | 

昭 : 绵 0 | 骤 1 | 篷 2 | 桶 3 | 砖 4 | 

钓 : 滴 0 | 仆 1 | 桶 2 | 幽 3 | 骤 4 | 

鹤 : 抚 0 | 紫 1 | 幽 2 | 慈 3 | 仆 4 | 

颂 : 赈 0 | 炉 1 | 慈 2 | 璇 3 | 紫 4 | 

昔 : 匆 0 | 迄 1 | 璇 2 | 缔 3 | 炉 4 | 

泊 : 尉 0 | 拳 1 | 缔 2 | 梯 3 | 迄 4 | 

茫 : 弥 0 | 玻 1 | 梯 2 | 羽 3 | 拳 4 | 

猫 : 琼 0 | 页 1 | 羽 2 | 茨 3 | 玻 4 | 

浅 : 宴 0 | 熊 1 | 茨 2 | 炒 3 | 页 4 | 

爸 : 撞 0 | 碎 1 | 炒 2 | 甜 3 | 熊 4 | 

虹 : 蹈 0 | 惑 1 | 甜 2 | Ｎ 3 | 碎 4 | 

Ｎ : 瓶 0 | 稍 1 | Ｎ 2 | 皆 3 | 惑 4 | 

垂 : 廊 0 | 彦 1 | 皆 2 | 乒 3 | 稍 4 | 

喀 : 艘 0 | 轿 1 | 乒 2 | 腿 3 | 彦 4 | 

逆 : 驰 0 | 郁 1 | 腿 2 | 誓 3 | 轿 4 | 

柔 : 尺 0 | 塌 1 | 誓 2 | 磊 3 | 郁 4 | 

挫 : 侯 0 | 抬 1 | 磊 2 | 碰 3 | 塌 4 | 

绳 : 寅 0 | 滔 1 | 碰 2 | 浅 3 | 抬 4 | 

卜 : 赚 0 | 串 1 | 浅 2 | 粒 3 | 滔 4 | 

畏 : 诱 0 | 碧 1 | 粒 2 | 渴 3 | 串 4 | 

狂 : 喷 0 | 冈 1 | 渴 2 | 帐 3 | 碧 4 | 

仔 : 孕 0 | 劝 1 | 帐 2 | 畏 3 | 冈 4 | 

磁 : 遏 0 | 帅 1 | 畏 2 | Ｏ 3 | 劝 4 | 

插 : 俩 0 | 袖 1 | Ｏ 2 | 讼 3 | 帅 4 | 

灿 : 爸 0 | 碗 1 | 讼 2 | 揽 3 | 袖 4 | 

彦 : 菊 0 | 胎 1 | 揽 2 | 魅 3 | 碗 4 | 

稍 : 憾 0 | 屡 1 | 魅 2 | 葛 3 | 胎 4 | 

坑 : 契 0 | 坪 1 | 葛 2 | 渗 3 | 屡 4 | 

癌 : 暑 0 | 骄 1 | 渗 2 | 辰 3 | 坪 4 | 

赚 : 披 0 | 杆 1 | 辰 2 | 侦 3 | 骄 4 | 

寺 : 挽 0 | 朵 1 | 侦 2 | 缝 3 | 杆 4 | 

夹 : 颜 0 | 悦 1 | 缝 2 | 哭 3 | 朵 4 | 

衫 : 谴 0 | 戊 1 | 哭 2 | 虹 3 | 悦 4 | 

垸 : 谱 0 | 亭 1 | 虹 2 | 昔 3 | 戊 4 | 

竣 : 惨 0 | 烦 1 | 昔 2 | 敲 3 | 亭 4 | 

攀 : 奈 0 | 罢 1 | 敲 2 | 坊 3 | 烦 4 | 

韦 : 挣 0 | 肿 1 | 坊 2 | 夹 3 | 罢 4 | 

垒 : 悟 0 | 坑 1 | 夹 2 | 溢 3 | 肿 4 | 

劝 : 敞 0 | 劫 1 | 溢 2 | 逆 3 | 坑 4 | 

肤 : 闸 0 | 俭 1 | 逆 2 | 弗 3 | 劫 4 | 

戚 : 溃 0 | 佐 1 | 弗 2 | 撰 3 | 俭 4 | 

憾 : 僵 0 | 菌 1 | 撰 2 | 窝 3 | 佐 4 | 

蕴 : 铭 0 | 挡 1 | 窝 2 | 柔 3 | 菌 4 | 

荆 : 仲 0 | 磁 1 | 柔 2 | 欺 3 | 挡 4 | 

魁 : 仙 0 | 睦 1 | 欺 2 | 洒 3 | 磁 4 | 

辐 : 骑 0 | Ｅ 1 | 洒 2 | 酷 3 | 睦 4 | 

仲 : 缉 0 | 垒 1 | 酷 2 | 爬 3 | Ｅ 4 | 

侦 : 逻 0 | 吊 1 | 爬 2 | 昭 3 | 垒 4 | 

雇 : 琳 0 | 仗 1 | 昭 2 | 糊 3 | 吊 4 | 

幢 : 酿 0 | 帽 1 | 糊 2 | 茫 3 | 仗 4 | 

衔 : 呆 0 | 咱 1 | 茫 2 | 翰 3 | 帽 4 | 

疲 : 洽 0 | 龚 1 | 翰 2 | 愧 3 | 咱 4 | 

艘 : 凶 0 | 垄 1 | 愧 2 | 赁 3 | 龚 4 | 

