。 : 。 0 | 、 1 | 的 2 | 
嫌 : 隔 0 | 玩 1 | 漠 2 | 

袭 : 捕 0 | 晋 1 | 碍 2 | 

雕 : 舰 0 | 逃 1 | 搬 2 | 

池 : 鸣 0 | 剂 1 | 覆 2 | 

慰 : 隐 0 | 辩 1 | 镜 2 | 

缔 : 滋 0 | 炮 1 | 闲 2 | 

仙 : 盗 0 | 瓜 1 | 卓 2 | 

妥 : 帕 0 | 彰 1 | 剩 2 | 

妈 : 驾 0 | 侧 1 | 缘 2 | 

耶 : 盲 0 | 巩 1 | 悲 2 | 

隔 : 霍 0 | 耀 1 | 挪 2 | 

伸 : 伸 0 | 孤 1 | 拜 2 | 

尾 : 妹 0 | 伪 1 | 蒂 2 | 

磨 : 稻 0 | 牲 1 | 吕 2 | 

凤 : 圈 0 | 慧 1 | 闹 2 | 

哲 : 焦 0 | 懈 1 | 旋 2 | 

汤 : 磨 0 | 竹 1 | 巧 2 | 

圈 : 泡 0 | 琛 1 | 氏 2 | 

腾 : 乔 0 | 灌 1 | 扰 2 | 

衷 : 雕 0 | 愈 1 | 铜 2 | 

凌 : 臣 0 | 割 1 | 曹 2 | 

柴 : 浦 0 | 陵 1 | 滩 2 | 

霍 : Ｓ 0 | 郎 1 | 贩 2 | 

寄 : 凯 0 | 摸 1 | 衷 2 | 

夕 : 耗 0 | 恰 1 | 绪 2 | 

框 : 漏 0 | 汤 1 | 郊 2 | 

拟 : 岭 0 | 癌 1 | 榜 2 | 

仿 : 歧 0 | 泳 1 | 仓 2 | 

瓜 : 涵 0 | 姜 1 | 岩 2 | 

钻 : 琴 0 | 君 1 | 垃 2 | 

驾 : 戈 0 | 丛 1 | 添 2 | 

症 : 圾 0 | 岳 1 | 偷 2 | 

溪 : 柳 0 | 滚 1 | 纵 2 | 

淀 : 桌 0 | 舟 1 | 驱 2 | 

耗 : 惩 0 | 勘 1 | 贪 2 | 

歧 : 孟 0 | 壁 1 | 液 2 | 

暗 : 啊 0 | 骗 1 | Ｉ 2 | 

涨 : 描 0 | 涝 1 | 霞 2 | 

昂 : 颗 0 | 弄 1 | Ｔ 2 | 

填 : 扭 0 | 欲 1 | 剑 2 | 

霞 : 舒 0 | 辅 1 | 枚 2 | 

飘 : 豆 0 | 鞋 1 | 闪 2 | 

欲 : 芬 0 | 锁 1 | 捷 2 | 

糖 : 扑 0 | 绘 1 | 湘 2 | 

翼 : 仿 0 | 凤 1 | 搭 2 | 

乔 : 嫌 0 | 叙 1 | 拆 2 | 

扭 : 萄 0 | 溪 1 | 宿 2 | 

汛 : 滥 0 | 傅 1 | 耐 2 | 

稽 : 钻 0 | 叹 1 | 棚 2 | 

柳 : 尾 0 | 冯 1 | 戒 2 | 

萄 : 顽 0 | 颖 1 | 胸 2 | 

稀 : 粗 0 | 恒 1 | 斌 2 | 

赋 : 撒 0 | 蛋 1 | Ｍ 2 | 

详 : 茂 0 | 帝 1 | 御 2 | 

饰 : 兄 0 | 伏 1 | 弘 2 | 

踪 : 燕 0 | 堪 1 | 彼 2 | 

Ｏ : 暗 0 | 虫 1 | 娜 2 | 

巧 : 尝 0 | 姑 1 | 枝 2 | 

弄 : 兹 0 | 址 1 | 遥 2 | 

悠 : 爷 0 | 慎 1 | 荆 2 | 

粗 : 湿 0 | 锡 1 | 狂 2 | 

烂 : 怪 0 | 详 1 | 肖 2 | 

恒 : 堆 0 | 炎 1 | 忍 2 | 

描 : 疏 0 | 昂 1 | 妙 2 | 

御 : 丈 0 | 兆 1 | 吹 2 | 

译 : 逝 0 | 译 1 | 塘 2 | 

锡 : 拟 0 | 埔 1 | 押 2 | 

叹 : 韦 0 | 饰 1 | 锻 2 | 

慨 : 挺 0 | 牺 1 | 飘 2 | 

桌 : 闯 0 | 贤 1 | 尖 2 | 

刷 : 阐 0 | 填 1 | 栽 2 | 

Ｅ : 脏 0 | 膨 1 | 灰 2 | 

炎 : 盐 0 | 锐 1 | 磋 2 | 

脉 : 滞 0 | 睛 1 | 魏 2 | 

孤 : 衰 0 | 亦 1 | 烂 2 | 

颜 : 奠 0 | 酸 1 | 怖 2 | 

骤 : 刷 0 | 摘 1 | 胶 2 | 

湘 : 寺 0 | 渊 1 | 狠 2 | 

漂 : 盼 0 | 削 1 | 顷 2 | 

拳 : 淘 0 | 杭 1 | 稀 2 | 

帽 : 慨 0 | 魂 1 | 硕 2 | 

睛 : 悬 0 | Ｖ 1 | 掘 2 | 

魏 : Ｐ 0 | 冻 1 | 悄 2 | 

顷 : 炭 0 | 稽 1 | 凉 2 | 

辅 : 携 0 | 柴 1 | 汰 2 | 

柏 : 募 0 | 喊 1 | 屏 2 | 

冶 : 睡 0 | 悠 1 | 箭 2 | 

艇 : 脉 0 | 丧 1 | 汪 2 | 

蓬 : 仰 0 | ● 1 | 屈 2 | 

逢 : 疲 0 | 泊 1 | 偶 2 | 

梯 : 株 0 | 盆 1 | 贿 2 | 

苍 : 腰 0 | 玛 1 | 垦 2 | 

锻 : 轰 0 | 蔡 1 | 艇 2 | 

亭 : 棵 0 | 漂 1 | 晶 2 | 

揽 : 姿 0 | 赋 1 | 娃 2 | 

屈 : 莲 0 | 罕 1 | 逢 2 | 

屏 : 翼 0 | 柜 1 | 唤 2 | 

虾 : 糖 0 | 尘 1 | 攀 2 | 

砍 : 弊 0 | 邹 1 | 壤 2 | 

饲 : 吐 0 | 袁 1 | 氧 2 | 

冻 : 玲 0 | 庙 1 | 逼 2 | 

披 : 慕 0 | 墓 1 | 踪 2 | 

丈 : 艳 0 | 锭 1 | 撑 2 | 

娜 : 厄 0 | 饲 1 | 抛 2 | 

琛 : 仔 0 | 锅 1 | 鹿 2 | 

盼 : 淹 0 | 谨 1 | 鸿 2 | 

闯 : 嘴 0 | 庞 1 | 丢 2 | 

玛 : 荐 0 | 埋 1 | 卿 2 | 

嘴 : 插 0 | 苍 1 | 框 2 | 

胸 : 娱 0 | 函 1 | 浸 2 | 

烦 : 垸 0 | 桃 1 | 蓬 2 | 

聪 : 怨 0 | 砖 1 | 瞩 2 | 

昭 : 绵 0 | 骤 1 | 篷 2 | 

钓 : 滴 0 | 仆 1 | 桶 2 | 

鹤 : 抚 0 | 紫 1 | 幽 2 | 

颂 : 赈 0 | 炉 1 | 慈 2 | 

昔 : 匆 0 | 迄 1 | 璇 2 | 

泊 : 尉 0 | 拳 1 | 缔 2 | 

茫 : 弥 0 | 玻 1 | 梯 2 | 

猫 : 琼 0 | 页 1 | 羽 2 | 

浅 : 宴 0 | 熊 1 | 茨 2 | 

爸 : 撞 0 | 碎 1 | 炒 2 | 

虹 : 蹈 0 | 惑 1 | 甜 2 | 

Ｎ : 瓶 0 | 稍 1 | Ｎ 2 | 

垂 : 廊 0 | 彦 1 | 皆 2 | 

喀 : 艘 0 | 轿 1 | 乒 2 | 

逆 : 驰 0 | 郁 1 | 腿 2 | 

柔 : 尺 0 | 塌 1 | 誓 2 | 

挫 : 侯 0 | 抬 1 | 磊 2 | 

绳 : 寅 0 | 滔 1 | 碰 2 | 

卜 : 赚 0 | 串 1 | 浅 2 | 

畏 : 诱 0 | 碧 1 | 粒 2 | 

狂 : 喷 0 | 冈 1 | 渴 2 | 

仔 : 孕 0 | 劝 1 | 帐 2 | 

磁 : 遏 0 | 帅 1 | 畏 2 | 

插 : 俩 0 | 袖 1 | Ｏ 2 | 

灿 : 爸 0 | 碗 1 | 讼 2 | 

彦 : 菊 0 | 胎 1 | 揽 2 | 

稍 : 憾 0 | 屡 1 | 魅 2 | 

坑 : 契 0 | 坪 1 | 葛 2 | 

癌 : 暑 0 | 骄 1 | 渗 2 | 

赚 : 披 0 | 杆 1 | 辰 2 | 

寺 : 挽 0 | 朵 1 | 侦 2 | 

夹 : 颜 0 | 悦 1 | 缝 2 | 

衫 : 谴 0 | 戊 1 | 哭 2 | 

垸 : 谱 0 | 亭 1 | 虹 2 | 

竣 : 惨 0 | 烦 1 | 昔 2 | 

攀 : 奈 0 | 罢 1 | 敲 2 | 

韦 : 挣 0 | 肿 1 | 坊 2 | 

垒 : 悟 0 | 坑 1 | 夹 2 | 

劝 : 敞 0 | 劫 1 | 溢 2 | 

肤 : 闸 0 | 俭 1 | 逆 2 | 

戚 : 溃 0 | 佐 1 | 弗 2 | 

憾 : 僵 0 | 菌 1 | 撰 2 | 

蕴 : 铭 0 | 挡 1 | 窝 2 | 

荆 : 仲 0 | 磁 1 | 柔 2 | 

魁 : 仙 0 | 睦 1 | 欺 2 | 

辐 : 骑 0 | Ｅ 1 | 洒 2 | 

仲 : 缉 0 | 垒 1 | 酷 2 | 

侦 : 逻 0 | 吊 1 | 爬 2 | 

雇 : 琳 0 | 仗 1 | 昭 2 | 

幢 : 酿 0 | 帽 1 | 糊 2 | 

衔 : 呆 0 | 咱 1 | 茫 2 | 

疲 : 洽 0 | 龚 1 | 翰 2 | 

艘 : 凶 0 | 垄 1 | 愧 2 | 

谱 : 霸 0 | 茅 1 | 赁 2 | 

崭 : 傲 0 | 挫 1 | 骚 2 | 

蕉 : 邯 0 | 坎 1 | 脆 2 | 

抛 : 垂 0 | 萍 1 | 抑 2 | 

幻 : 绳 0 | 竭 1 | 姚 2 | 

帅 : 拦 0 | 韵 1 | ＋ 2 | 

仗 : 遣 0 | 腊 1 | 颂 2 | 

睹 : 冶 0 | 掀 1 | 斜 2 | 

挣 : 幻 0 | 眉 1 | 蕴 2 | 

愁 : 儒 0 | 璃 1 | ○ 2 | 

勋 : 殷 0 | 鼠 1 | 栋 2 | 

芭 : 瓷 0 | 殿 1 | 孝 2 | 

缉 : 逾 0 | 晰 1 | 涂 2 | 

喇 : 哀 0 | 丘 1 | Ｇ 2 | 

菊 : 蔓 0 | 膜 1 | 聪 2 | 

肆 : 乓 0 | 昼 1 | 掩 2 | 

酿 : 啤 0 | 呀 1 | 钩 2 | 

肝 : 薛 0 | 勋 1 | 缆 2 | 

菌 : 砍 0 | 昏 1 | 泄 2 | 

谐 : 酬 0 | 乙 1 | 魔 2 | 

邵 : 谭 0 | 匹 1 | 叔 2 | 

藤 : 乳 0 | 淑 1 | 灿 2 | 

沪 : 蕾 0 | 甸 1 | 翁 2 | 

醉 : 睹 0 | 搜 1 | 雇 2 | 

滴 : 卜 0 | 腹 1 | 纤 2 | 

惨 : 浇 0 | 哨 1 | 擅 2 | 

淤 : 杉 0 | 瘤 1 | 肆 2 | 

杉 : 婆 0 | 辣 1 | 踢 2 | 

抒 : 豫 0 | 巷 1 | 崔 2 | 

臭 : 醉 0 | 雾 1 | 吞 2 | 

眉 : 谐 0 | 盒 1 | 祸 2 | 

洽 : 催 0 | 狮 1 | 肝 2 | 

雾 : 焕 0 | 踊 1 | 夸 2 | 

勉 : 浑 0 | ｅ 1 | 衔 2 | 

缅 : 戚 0 | 捧 1 | 窃 2 | 

禹 : 卧 0 | 喀 1 | 腔 2 | 

浸 : 嫂 0 | 屠 1 | 剪 2 | 

龚 : 嫁 0 | 辜 1 | 笼 2 | 

殿 : 丑 0 | 弯 1 | 竣 2 | 

愧 : 寸 0 | 翔 1 | 拘 2 | 

巾 : 狗 0 | 铸 1 | 魄 2 | 

炳 : 柯 0 | Ｆ 1 | 诈 2 | 

啥 : 愁 0 | 斑 1 | 薪 2 | 

罐 : 厘 0 | 剥 1 | 愤 2 | 

翠 : 啡 0 | 恋 1 | 崭 2 | 

彬 : 钓 0 | 缅 1 | 狱 2 | 

拾 : 禽 0 | 葬 1 | 谦 2 | 

斑 : 聊 0 | 咖 1 | 奢 2 | 

拘 : 帆 0 | 尿 1 | 卸 2 | 

孕 : 歹 0 | 挨 1 | 辱 2 | 

沾 : 怒 0 | 尹 1 | 庸 2 | 

吞 : 捞 0 | 肇 1 | 赣 2 | 

Ｈ : 畔 0 | 澜 1 | 逮 2 | 

淹 : 沪 0 | 鸭 1 | 淀 2 | 

楠 : 涯 0 | 鼎 1 | 廖 2 | 

猖 : 秉 0 | 翠 1 | 邱 2 | 

嫁 : 囊 0 | 矶 1 | 泼 2 | 

叉 : 巾 0 | 炳 1 | 暨 2 | 

薪 : 勉 0 | 蚀 1 | 枯 2 | 

羽 : 饶 0 | 桩 1 | 芝 2 | 

愤 : 崛 0 | 绸 1 | 擦 2 | 

冀 : 鹅 0 | 寂 1 | 掏 2 | 

劾 : 椅 0 | 逊 1 | 臂 2 | 

淑 : 雁 0 | 橡 1 | 寓 2 | 

募 : 圭 0 | 鹤 1 | 牡 2 | 

缆 : ｎ 0 | 趟 1 | 沫 2 | 

滔 : 婴 0 | 肠 1 | 吾 2 | 

冤 : 扮 0 | 猫 1 | 砂 2 | 

恋 : 鄂 0 | 潭 1 | 彬 2 | 

饥 : 愉 0 | 肤 1 | 窑 2 | 

芝 : 帷 0 | 纱 1 | 疼 2 | 

擦 : 抄 0 | 杏 1 | 嘱 2 | 

萃 : 垮 0 | 坤 1 | 溉 2 | 

冈 : 冀 0 | 樊 1 | 魁 2 | 

瞻 : 宰 0 | 辐 1 | 阎 2 | 

翰 : 刮 0 | 沧 1 | 筋 2 | 

桩 : 勾 0 | 幢 1 | 辨 2 | 

斥 : 悔 0 | 鞭 1 | 萧 2 | 

潭 : 鹰 0 | 芦 1 | 猎 2 | 

凶 : 粹 0 | 蒸 1 | 旭 2 | 

谦 : 挚 0 | 芭 1 | 撼 2 | 

ｎ : 狭 0 | 枣 1 | 斥 2 | 

屯 : 痕 0 | 饿 1 | 罐 2 | 

卵 : 熙 0 | 咬 1 | 蓉 2 | 

灶 : 凑 0 | 叛 1 | 衍 2 | 

虐 : 圩 0 | 铃 1 | 肺 2 | 

仑 : 饼 0 | ｔ 1 | 瘦 2 | 

椅 : 歉 0 | 瞬 1 | 喻 2 | 

扇 : 恳 0 | 淤 1 | 啥 2 | 

邯 : 藤 0 | 俞 1 | 眠 2 | 

沥 : 汕 0 | Ｌ 1 | 亨 2 | 

渣 : 奎 0 | 巍 1 | 韧 2 | 

渝 : 崩 0 | 壳 1 | 瞻 2 | 

咸 : 剖 0 | 舱 1 | 穴 2 | 

硫 : 湛 0 | 呵 1 | 甫 2 | 

ｅ : 匈 0 | 碱 1 | 芒 2 | 

荫 : 脊 0 | 驳 1 | 躺 2 | 

巍 : 抒 0 | 歇 1 | 庐 2 | 

Ｌ : 枢 0 | 馨 1 | 弦 2 | 

萎 : 渤 0 | 奴 1 | 钧 2 | 

柯 : 悼 0 | 澄 1 | 宙 2 | 

墓 : 妨 0 | Ｈ 1 | 忌 2 | 

帷 : 荫 0 | 蔚 1 | 扛 2 | 

逊 : 霜 0 | 猜 1 | 拾 2 | 

鞠 : 襄 0 | 衬 1 | ＊ 2 | 

叠 : × 0 | 屯 1 | 叠 2 | 

廖 : Ｋ 0 | 疯 1 | 鄱 2 | 

弦 : 岂 0 | 爽 1 | 咸 2 | 

杠 : 谅 0 | 厕 1 | ｏ 2 | 

踊 : 侈 0 | 隧 1 | 饥 2 | 

瞄 : 陋 0 | 堰 1 | 朽 2 | 

撼 : 亟 0 | 芯 1 | 躯 2 | 

吟 : 慌 0 | 啦 1 | 袱 2 | 

蜂 : 厢 0 | 鞍 1 | 碌 2 | 

矾 : 鬼 0 | 邵 1 | 捉 2 | 

遂 : 镑 0 | 蝶 1 | 摔 2 | 

抄 : 浴 0 | 砸 1 | 秧 2 | 

铝 : 陌 0 | 僚 1 | 鼻 2 | 

赈 : 窄 0 | 诫 1 | 赂 2 | 

匈 : 逸 0 | 竖 1 | 扔 2 | 

霖 : 莉 0 | 链 1 | 颠 2 | 

朔 : 刹 0 | 兢 1 | 膀 2 | 

砸 : 舶 0 | 缠 1 | 狼 2 | 

芽 : 孜 0 | 炬 1 | 铝 2 | 

咬 : 桔 0 | 挠 1 | 濒 2 | 

枢 : 棒 0 | 渝 1 | 浆 2 | 

蜜 : 盯 0 | 虐 1 | 傍 2 | 

纱 : 惕 0 | 葱 1 | 臭 2 | 

畴 : 夷 0 | 娟 1 | 歪 2 | 

秆 : 绒 0 | 烽 1 | 莎 2 | 

喧 : 秆 0 | 彪 1 | 蜂 2 | 

颤 : 祭 0 | 钞 1 | 泣 2 | 

臂 : 虾 0 | 遂 1 | 隶 2 | 

晃 : 闽 0 | 秸 1 | 筒 2 | 

鬼 : 丸 0 | 姻 1 | 粤 2 | 

歪 : 恨 0 | ａ 1 | 鲍 2 | 

苑 : 螺 0 | 肌 1 | 蹲 2 | 

吓 : 抹 0 | Ｗ 1 | 晒 2 | 

ｔ : 铢 0 | 沛 1 | 卵 2 | 

饿 : 垫 0 | 梨 1 | 斋 2 | 

缠 : 躲 0 | 淋 1 | 趁 2 | 

芒 : 颈 0 | 骂 1 | 珊 2 | 

牟 : 吟 0 | 曝 1 | Ｘ 2 | 

匙 : 叉 0 | 邢 1 | 崖 2 | 

呵 : 漳 0 | 厨 1 | 茵 2 | 

狼 : 俺 0 | 菇 1 | 拐 2 | 

刹 : 苹 0 | 萎 1 | ｉ 2 | 

抹 : 恼 0 | 纹 1 | 慷 2 | 

耸 : 恪 0 | 绥 1 | 瑰 2 | 

兔 : 宛 0 | 锣 1 | 躁 2 | 

恨 : 渣 0 | 楷 1 | ｒ 2 | 

酝 : 猖 0 | 沂 1 | 椒 2 | 

赣 : 髓 0 | 铅 1 | 酝 2 | 

麓 : 馈 0 | 舌 1 | 遮 2 | 

绑 : 喧 0 | 斡 1 | Ｒ 2 | 

肌 : 粪 0 | 匠 1 | 衫 2 | 

焰 : 哄 0 | 迭 1 | 绎 2 | 

稚 : 缚 0 | 怡 1 | 汹 2 | 

抖 : 晃 0 | 雀 1 | 汝 2 | 

绥 : 肚 0 | 蛇 1 | 禹 2 | 

扯 : 喂 0 | 羡 1 | 阜 2 | 

赃 : 栗 0 | 禄 1 | 琪 2 | 

瞒 : 倪 0 | 瘫 1 | 苑 2 | 

裤 : 痴 0 | 萌 1 | 寡 2 | 

桓 : 冉 0 | 扇 1 | 摧 2 | 

忌 : 赌 0 | 沾 1 | 棠 2 | 

晖 : 媳 0 | 伞 1 | 嘛 2 | 

碟 : 惧 0 | 灶 1 | 胃 2 | 

婉 : 驭 0 | 乾 1 | 闷 2 | 

躯 : 邪 0 | 噪 1 | 锤 2 | 

厌 : 尧 0 | 倘 1 | 婉 2 | 

奸 : 杠 0 | 扯 1 | 绑 2 | 

溜 : 裹 0 | 兔 1 | 喇 2 | 

慷 : 卉 0 | 裤 1 | 芽 2 | 

梳 : 掠 0 | 棍 1 | 蜜 2 | 

兽 : 浊 0 | 沸 1 | 獗 2 | 

绎 : 稚 0 | 彝 1 | 鸽 2 | 

俯 : 漓 0 | 漆 1 | 脂 2 | 

熏 : 鞠 0 | 汲 1 | 耻 2 | 

弓 : 稼 0 | 焰 1 | 敖 2 | 

躺 : 俘 0 | 溜 1 | 齿 2 | 

▲ : 铲 0 | ｃ 1 | 嘎 2 | 

掺 : 钊 0 | 鑫 1 | 醇 2 | 

斧 : 沼 0 | 恭 1 | 踩 2 | 

罩 : 僻 0 | 寰 1 | 巢 2 | 

墅 : 樱 0 | 尸 1 | 霖 2 | 

僚 : 兽 0 | 昊 1 | 麟 2 | 

泾 : 龟 0 | 裔 1 | 陡 2 | 

铅 : － 0 | 泻 1 | 觅 2 | 

忱 : 桐 0 | 聂 1 | 绣 2 | 

馈 : 徊 0 | 邸 1 | 硫 2 | 

帘 : 涅 0 | 烤 1 | 瑟 2 | 

裹 : 靖 0 | 肢 1 | 徘 2 | 

驴 : 曙 0 | 阀 1 | 浏 2 | 

秃 : 焚 0 | 咏 1 | 薯 2 | 

沛 : 晕 0 | 吓 1 | 蛮 2 | 

ｃ : 郸 0 | 耘 1 | 钉 2 | 

琢 : 叭 0 | 赃 1 | 朔 2 | 

榴 : 愚 0 | 匙 1 | 扳 2 | 

璐 : 碳 0 | 晖 1 | 斐 2 | 

珊 : 奸 0 | 罩 1 | 冤 2 | 

姬 : 寥 0 | 熏 1 | 栖 2 | 

侗 : 侠 0 | 蛙 1 | 捆 2 | 

栖 : 洼 0 | 叮 1 | 诵 2 | 

瑟 : 毯 0 | 擂 1 | 拢 2 | 

溶 : 甩 0 | 隙 1 | 榆 2 | 

崖 : 筛 0 | 拱 1 | 淫 2 | 

跻 : 钥 0 | 霉 1 | 熬 2 | 

樱 : 瞒 0 | 俯 1 | 矮 2 | 

壶 : 躬 0 | 葫 1 | 卒 2 | 

鹅 : 轴 0 | 汾 1 | 饺 2 | 

宠 : 曰 0 | 胖 1 | 寞 2 | 

暇 : 翅 0 | 簇 1 | 梭 2 | 

潇 : 汁 0 | 攒 1 | ▲ 2 | 

钉 : 仇 0 | 肾 1 | 黔 2 | 

绚 : 倦 0 | 拯 1 | 抖 2 | 

崎 : 琦 0 | 糕 1 | 哗 2 | 

拢 : 溶 0 | 礁 1 | 皖 2 | 

聂 : 楠 0 | 阮 1 | 捍 2 | 

烫 : 搁 0 | 瑶 1 | 埠 2 | 

愚 : 痹 0 | 牟 1 | 颤 2 | 

炕 : 翟 0 | 啸 1 | 莹 2 | 

鲍 : 畴 0 | 峙 1 | 萃 2 | 

ｍ : 帼 0 | 跋 1 | 绚 2 | 

贼 : 壶 0 | 榄 1 | 匾 2 | 

磷 : 烁 0 | 滇 1 | 哺 2 | 

噪 : 萝 0 | 逛 1 | 跻 2 | 

雀 : 讽 0 | 瞄 1 | 厌 2 | 

蚊 : 郝 0 | 筝 1 | 灸 2 | 

赡 : 渎 0 | ｗ 1 | 滕 2 | 

氮 : 琢 0 | 暇 1 | 丙 2 | 

攒 : 耸 0 | 缕 1 | 簿 2 | 

榻 : 芜 0 | ｌ 1 | 矩 2 | 

姨 : 讳 0 | 睐 1 | 蔽 2 | 

茵 : 盏 0 | 睁 1 | 腻 2 | 

哗 : 坠 0 | 沥 1 | 冕 2 | 

敷 : 嗓 0 | 襟 1 | 璐 2 | 

拴 : 谣 0 | 宵 1 | 纬 2 | 

痪 : 羞 0 | 潇 1 | 詹 2 | 

匀 : 凿 0 | 枉 1 | 峪 2 | 

楝 : 桦 0 | 旷 1 | 帘 2 | 

磅 : 燥 0 | 斧 1 | 坷 2 | 

毯 : 嚣 0 | ｓ 1 | 聋 2 | 

浊 : 蒲 0 | 犁 1 | 穗 2 | 

牡 : 淌 0 | 橄 1 | 潍 2 | 

殴 : 尴 0 | 棘 1 | 尬 2 | 

琨 : 嵌 0 | 蚕 1 | 骆 2 | 

懒 : 喘 0 | 莞 1 | 苟 2 | 

穴 : 豁 0 | 屿 1 | 涩 2 | 

呐 : 茬 0 | 瘾 1 | 贞 2 | 

拌 : 凳 0 | 烛 1 | 匪 2 | 

鞍 : 膏 0 | 廿 1 | 哑 2 | 

诀 : 粘 0 | 碟 1 | 翩 2 | 

秭 : 昧 0 | 坟 1 | 孚 2 | 

椰 : 僧 0 | 笋 1 | 镶 2 | 

刁 : 撕 0 | 捡 1 | 咽 2 | 

袱 : 佑 0 | 煮 1 | 驼 2 | 

吵 : 轩 0 | 澧 1 | 磅 2 | 

杼 : 荧 0 | 闵 1 | 懒 2 | 

〉 : 菱 0 | 硅 1 | 墟 2 | 

楷 : 兜 0 | 瞧 1 | 玫 2 | 

鹭 : 磷 0 | 妆 1 | 琅 2 | 

甬 : 矢 0 | 寇 1 | 槐 2 | 

凿 : 氮 0 | 吻 1 | 渍 2 | 

侮 : 裸 0 | 俏 1 | 槽 2 | 

糟 : 膝 0 | 媚 1 | 硝 2 | 

羞 : 徇 0 | 耿 1 | 窟 2 | 

烽 : 吵 0 | 缪 1 | 喉 2 | 

ｇ : 忱 0 | 茜 1 | 辍 2 | 

恤 : 烫 0 | 泵 1 | 妄 2 | 

斡 : 戌 0 | 灼 1 | 涡 2 | 

耿 : ｍ 0 | 啃 1 | 腺 2 | 

淌 : 蒜 0 | 踞 1 | 凰 2 | 

剔 : 彤 0 | 猴 1 | 岱 2 | 

铢 : 糟 0 | 佼 1 | 靶 2 | 

觅 : 秽 0 | 焊 1 | ｐ 2 | 

凳 : 卑 0 | 娥 1 | 砌 2 | 

虞 : 泌 0 | 拂 1 | 仑 2 | 

襄 : 捏 0 | 鸦 1 | 椰 2 | 

阀 : 赐 0 | 昕 1 | 炯 2 | 

铮 : 挝 0 | 溯 1 | 雯 2 | 

俺 : Ｕ 0 | 暮 1 | 迢 2 | 

纂 : 痪 0 | 崎 1 | 轧 2 | 

侃 : 炊 0 | 缸 1 | 盎 2 | 

湄 : 焉 0 | 璞 1 | 玄 2 | 

廿 : 狐 0 | 拣 1 | 娇 2 | 

熬 : 铮 0 | 揣 1 | 砚 2 | 

逗 : 忡 0 | 秤 1 | 唇 2 | 

亵 : 笛 0 | 禅 1 | 祈 2 | 

嗓 : 絮 0 | 媛 1 | 蓓 2 | 

咋 : 咐 0 | 敷 1 | 惹 2 | 

钮 : 侃 0 | 葆 1 | 惫 2 | 

邕 : 赦 0 | 〉 1 | 脖 2 | 

凰 : 镐 0 | 傻 1 | 褚 2 | 

骆 : 裙 0 | 沐 1 | 氨 2 | 

翩 : 俑 0 | 麓 1 | 妍 2 | 

峭 : 〈 0 | 蝇 1 | 眶 2 | 

岱 : 渥 0 | 渭 1 | 慑 2 | 

捏 : 芹 0 | 荟 1 | 瑚 2 | 

炯 : 谆 0 | 呕 1 | 珀 2 | 

倦 : 删 0 | 屑 1 | 怜 2 | 

斩 : 眺 0 | 茄 1 | 眷 2 | 

氯 : 脾 0 | 墅 1 | 腑 2 | 

岷 : 妮 0 | 扼 1 | 刃 2 | 

雯 : 剿 0 | 凸 1 | 酋 2 | 

鸦 : 杼 0 | 遐 1 | 蜡 2 | 

桷 : 沦 0 | 舸 1 | 浒 2 | 

佟 : 烹 0 | 嚼 1 | 熔 2 | 

陛 : 聆 0 | 沓 1 | 澈 2 | 

桔 : 锈 0 | 攘 1 | 呐 2 | 

冕 : 哩 0 | 匿 1 | 浚 2 | 

紊 : 剔 0 | △ 1 | 柑 2 | 

卒 : 匡 0 | 枕 1 | 咋 2 | 

梧 : 豹 0 | 贮 1 | 爵 2 | 

缤 : 驿 0 | 苛 1 | 秃 2 | 

凛 : 辄 0 | 乍 1 | 诀 2 | 

壑 : 姨 0 | ‰ 1 | 跪 2 | 

泵 : 茹 0 | 胚 1 | 讶 2 | 

瑰 : 庚 0 | ｕ 1 | 墩 2 | 

跆 : 谜 0 | 椎 1 | 惟 2 | 

拣 : 耽 0 | 抉 1 | 娅 2 | 

仕 : 搅 0 | 赉 1 | 杖 2 | 

睫 : 诲 0 | 涧 1 | 蝴 2 | 

猴 : 缀 0 | 贻 1 | 苇 2 | 

沁 : 沽 0 | 凄 1 | 戎 2 | 

峙 : 宠 0 | 泸 1 | 斩 2 | 

氨 : 扒 0 | 霄 1 | 煞 2 | 

焉 : 峭 0 | 兮 1 | 纂 2 | 

锄 : 嬉 0 | 栅 1 | 酱 2 | 

