。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 是 10 | 和 11 | 有 12 | 大 13 | １ 14 | 不 15 | 年 16 | ０ 17 | 会 18 | 为 19 | 

伐 : Ａ 0 | 竟 1 | 亏 2 | 赠 3 | 径 4 | 忘 5 | 唱 6 | 煤 7 | 熟 8 | 乌 9 | 辉 10 | 宜 11 | 莱 12 | 锋 13 | 伙 14 | 呢 15 | 板 16 | 忠 17 | 迫 18 | 唐 19 | 

欠 : 忘 0 | 煤 1 | 赠 2 | 乌 3 | 竟 4 | 宜 5 | Ａ 6 | 锋 7 | 亏 8 | 呢 9 | 径 10 | 忠 11 | 唱 12 | 唐 13 | 熟 14 | 拍 15 | 辉 16 | 端 17 | 莱 18 | 静 19 | 

牛 : 宜 0 | 锋 1 | 乌 2 | 呢 3 | 煤 4 | 忠 5 | 忘 6 | 唐 7 | 赠 8 | 拍 9 | 竟 10 | 端 11 | Ａ 12 | 静 13 | 亏 14 | 句 15 | 径 16 | 偿 17 | 唱 18 | 盖 19 | 

乌 : 忠 0 | 唐 1 | 呢 2 | 拍 3 | 锋 4 | 端 5 | 宜 6 | 静 7 | 乌 8 | 句 9 | 煤 10 | 偿 11 | 忘 12 | 盖 13 | 赠 14 | 渐 15 | 竟 16 | 若 17 | Ａ 18 | 贝 19 | 

迹 : 端 0 | 静 1 | 拍 2 | 句 3 | 唐 4 | 偿 5 | 忠 6 | 盖 7 | 呢 8 | 渐 9 | 锋 10 | 若 11 | 宜 12 | 贝 13 | 乌 14 | 折 15 | 煤 16 | 透 17 | 忘 18 | 沃 19 | 

邮 : 偿 0 | 盖 1 | 句 2 | 渐 3 | 静 4 | 若 5 | 端 6 | 贝 7 | 拍 8 | 折 9 | 唐 10 | 透 11 | 忠 12 | 沃 13 | 呢 14 | 屋 15 | 锋 16 | 脚 17 | 宜 18 | 辽 19 | 

硬 : 若 0 | 贝 1 | 渐 2 | 折 3 | 盖 4 | 透 5 | 偿 6 | 沃 7 | 句 8 | 屋 9 | 静 10 | 脚 11 | 端 12 | 辽 13 | 拍 14 | 胞 15 | 唐 16 | 恶 17 | 忠 18 | 硬 19 | 

缩 : 透 0 | 沃 1 | 折 2 | 屋 3 | 贝 4 | 脚 5 | 若 6 | 辽 7 | 渐 8 | 胞 9 | 盖 10 | 恶 11 | 偿 12 | 硬 13 | 句 14 | 姓 15 | 静 16 | 沈 17 | 端 18 | 跃 19 | 

词 : 脚 0 | 辽 1 | 屋 2 | 胞 3 | 沃 4 | 恶 5 | 透 6 | 硬 7 | 折 8 | 姓 9 | 贝 10 | 沈 11 | 若 12 | 跃 13 | 渐 14 | 怕 15 | 盖 16 | 烟 17 | 偿 18 | 穿 19 | 

遗 : 恶 0 | 硬 1 | 胞 2 | 姓 3 | 辽 4 | 沈 5 | 脚 6 | 跃 7 | 屋 8 | 怕 9 | 沃 10 | 烟 11 | 透 12 | 穿 13 | 折 14 | 距 15 | 贝 16 | 载 17 | 若 18 | 虎 19 | 

穿 : 沈 0 | 跃 1 | 姓 2 | 怕 3 | 硬 4 | 烟 5 | 恶 6 | 穿 7 | 胞 8 | 距 9 | 辽 10 | 载 11 | 脚 12 | 虎 13 | 屋 14 | 沉 15 | 沃 16 | 朋 17 | 透 18 | 顶 19 | 

朋 : 烟 0 | 穿 1 | 怕 2 | 距 3 | 跃 4 | 载 5 | 沈 6 | 虎 7 | 姓 8 | 沉 9 | 硬 10 | 朋 11 | 恶 12 | 顶 13 | 胞 14 | 肯 15 | 辽 16 | 涛 17 | 脚 18 | 皮 19 | 

屋 : 载 0 | 虎 1 | 距 2 | 沉 3 | 穿 4 | 朋 5 | 烟 6 | 顶 7 | 怕 8 | 肯 9 | 跃 10 | 涛 11 | 沈 12 | 皮 13 | 姓 14 | 洁 15 | 硬 16 | 账 17 | 恶 18 | 郑 19 | 

患 : 朋 0 | 顶 1 | 沉 2 | 肯 3 | 虎 4 | 涛 5 | 载 6 | 皮 7 | 距 8 | 洁 9 | 穿 10 | 账 11 | 烟 12 | 郑 13 | 怕 14 | 偏 15 | 跃 16 | 享 17 | 沈 18 | 矛 19 | 

零 : 涛 0 | 皮 1 | 肯 2 | 洁 3 | 顶 4 | 账 5 | 朋 6 | 郑 7 | 沉 8 | 偏 9 | 虎 10 | 享 11 | 载 12 | 矛 13 | 距 14 | 坡 15 | 穿 16 | 操 17 | 烟 18 | 洛 19 | 

皮 : 账 0 | 郑 1 | 洁 2 | 偏 3 | 皮 4 | 享 5 | 涛 6 | 矛 7 | 肯 8 | 坡 9 | 顶 10 | 操 11 | 朋 12 | 洛 13 | 沉 14 | 惊 15 | 虎 16 | 潜 17 | 载 18 | 附 19 | 

昌 : 享 0 | 矛 1 | 偏 2 | 坡 3 | 郑 4 | 操 5 | 账 6 | 洛 7 | 洁 8 | 惊 9 | 皮 10 | 潜 11 | 涛 12 | 附 13 | 肯 14 | 廉 15 | 顶 16 | 疆 17 | 朋 18 | 敬 19 | 

拔 : 操 0 | 洛 1 | 坡 2 | 惊 3 | 矛 4 | 潜 5 | 享 6 | 附 7 | 偏 8 | 廉 9 | 郑 10 | 疆 11 | 账 12 | 敬 13 | 洁 14 | 龄 15 | 皮 16 | 荒 17 | 涛 18 | 纽 19 | 

册 : 潜 0 | 附 1 | 惊 2 | 廉 3 | 洛 4 | 疆 5 | 操 6 | 敬 7 | 坡 8 | 龄 9 | 矛 10 | 荒 11 | 享 12 | 纽 13 | 偏 14 | 殊 15 | 郑 16 | 乘 17 | 账 18 | 珍 19 | 

敢 : 疆 0 | 敬 1 | 廉 2 | 龄 3 | 附 4 | 荒 5 | 潜 6 | 纽 7 | 惊 8 | 殊 9 | 洛 10 | 乘 11 | 操 12 | 珍 13 | 坡 14 | 牙 15 | 矛 16 | 凡 17 | 享 18 | 询 19 | 

衣 : 荒 0 | 纽 1 | 龄 2 | 殊 3 | 敬 4 | 乘 5 | 疆 6 | 珍 7 | 廉 8 | 牙 9 | 附 10 | 凡 11 | 潜 12 | 询 13 | 惊 14 | 牧 15 | 洛 16 | 跌 17 | 操 18 | 租 19 | 

弹 : 乘 0 | 珍 1 | 殊 2 | 牙 3 | 纽 4 | 凡 5 | 荒 6 | 询 7 | 龄 8 | 牧 9 | 敬 10 | 跌 11 | 疆 12 | 租 13 | 廉 14 | 倍 15 | 附 16 | 冰 17 | 潜 18 | 亡 19 | 

翻 : 凡 0 | 询 1 | 牙 2 | 牧 3 | 珍 4 | 跌 5 | 乘 6 | 租 7 | 殊 8 | 倍 9 | 纽 10 | 冰 11 | 荒 12 | 亡 13 | 龄 14 | 梁 15 | 敬 16 | 册 17 | 疆 18 | 骨 19 | 

洛 : 跌 0 | 租 1 | 牧 2 | 倍 3 | 询 4 | 冰 5 | 凡 6 | 亡 7 | 牙 8 | 梁 9 | 珍 10 | 册 11 | 乘 12 | 骨 13 | 殊 14 | 撤 15 | 纽 16 | 翻 17 | 荒 18 | 痛 19 | 

媒 : 冰 0 | 亡 1 | 倍 2 | 梁 3 | 租 4 | 册 5 | 跌 6 | 骨 7 | 牧 8 | 撤 9 | 询 10 | 翻 11 | 凡 12 | 痛 13 | 牙 14 | 奉 15 | 珍 16 | 闭 17 | 乘 18 | 幸 19 | 

轨 : 册 0 | 骨 1 | 梁 2 | 撤 3 | 亡 4 | 翻 5 | 冰 6 | 痛 7 | 倍 8 | 奉 9 | 租 10 | 闭 11 | 跌 12 | 幸 13 | 牧 14 | 弹 15 | 询 16 | 词 17 | 凡 18 | 刑 19 | 

痛 : 翻 0 | 痛 1 | 撤 2 | 奉 3 | 骨 4 | 闭 5 | 册 6 | 幸 7 | 梁 8 | 弹 9 | 亡 10 | 词 11 | 冰 12 | 刑 13 | 倍 14 | 灯 15 | 租 16 | 跑 17 | 跌 18 | 辛 19 | 

截 : 闭 0 | 幸 1 | 奉 2 | 弹 3 | 痛 4 | 词 5 | 翻 6 | 刑 7 | 撤 8 | 灯 9 | 骨 10 | 跑 11 | 册 12 | 辛 13 | 梁 14 | 旦 15 | 亡 16 | 晓 17 | 冰 18 | 鉴 19 | 

洁 : 词 0 | 刑 1 | 弹 2 | 灯 3 | 幸 4 | 跑 5 | 闭 6 | 辛 7 | 奉 8 | 旦 9 | 痛 10 | 晓 11 | 翻 12 | 鉴 13 | 撤 14 | 唯 15 | 骨 16 | 敦 17 | 册 18 | 截 19 | 

跟 : 跑 0 | 辛 1 | 灯 2 | 旦 3 | 刑 4 | 晓 5 | 词 6 | 鉴 7 | 弹 8 | 唯 9 | 幸 10 | 敦 11 | 闭 12 | 截 13 | 奉 14 | 敢 15 | 痛 16 | 箱 17 | 翻 18 | 零 19 | 

董 : 晓 0 | 鉴 1 | 旦 2 | 唯 3 | 辛 4 | 敦 5 | 跑 6 | 截 7 | 灯 8 | 敢 9 | 刑 10 | 箱 11 | 词 12 | 零 13 | 弹 14 | 墨 15 | 幸 16 | 杀 17 | 闭 18 | 纯 19 | 

洞 : 敦 0 | 截 1 | 唯 2 | 敢 3 | 鉴 4 | 箱 5 | 晓 6 | 零 7 | 旦 8 | 墨 9 | 辛 10 | 杀 11 | 跑 12 | 纯 13 | 灯 14 | 忙 15 | 刑 16 | 昨 17 | 词 18 | 缩 19 | 

句 : 箱 0 | 零 1 | 敢 2 | 墨 3 | 截 4 | 杀 5 | 敦 6 | 纯 7 | 唯 8 | 忙 9 | 鉴 10 | 昨 11 | 晓 12 | 缩 13 | 旦 14 | 迪 15 | 辛 16 | 贺 17 | 跑 18 | 媒 19 | 

掉 : 杀 0 | 纯 1 | 墨 2 | 忙 3 | 零 4 | 昨 5 | 箱 6 | 缩 7 | 敢 8 | 迪 9 | 截 10 | 贺 11 | 敦 12 | 媒 13 | 唯 14 | 弟 15 | 鉴 16 | 耕 17 | 晓 18 | 舍 19 | 

麦 : 昨 0 | 缩 1 | 忙 2 | 迪 3 | 纯 4 | 贺 5 | 杀 6 | 媒 7 | 墨 8 | 弟 9 | 零 10 | 耕 11 | 箱 12 | 舍 13 | 敢 14 | 隆 15 | 截 16 | 奔 17 | 敦 18 | 估 19 | 

幸 : 贺 0 | 媒 1 | 迪 2 | 弟 3 | 缩 4 | 耕 5 | 昨 6 | 舍 7 | 忙 8 | 隆 9 | 纯 10 | 奔 11 | 杀 12 | 估 13 | 墨 14 | 衡 15 | 零 16 | 拔 17 | 箱 18 | 丁 19 | 

赴 : 耕 0 | 舍 1 | 弟 2 | 隆 3 | 媒 4 | 奔 5 | 贺 6 | 估 7 | 迪 8 | 衡 9 | 缩 10 | 拔 11 | 昨 12 | 丁 13 | 忙 14 | 渠 15 | 纯 16 | 洞 17 | 杀 18 | 泉 19 | 

卷 : 奔 0 | 估 1 | 隆 2 | 衡 3 | 舍 4 | 拔 5 | 耕 6 | 丁 7 | 弟 8 | 渠 9 | 媒 10 | 洞 11 | 贺 12 | 泉 13 | 迪 14 | 井 15 | 缩 16 | 桑 17 | 昨 18 | 卷 19 | 

疆 : 拔 0 | 丁 1 | 衡 2 | 渠 3 | 估 4 | 洞 5 | 奔 6 | 泉 7 | 隆 8 | 井 9 | 舍 10 | 桑 11 | 耕 12 | 卷 13 | 弟 14 | 乏 15 | 媒 16 | 慰 17 | 贺 18 | 跟 19 | 

触 : 洞 0 | 泉 1 | 渠 2 | 井 3 | 丁 4 | 桑 5 | 拔 6 | 卷 7 | 衡 8 | 乏 9 | 估 10 | 慰 11 | 奔 12 | 跟 13 | 隆 14 | 倾 15 | 舍 16 | 掉 17 | 耕 18 | 浙 19 | 

乏 : 桑 0 | 卷 1 | 井 2 | 乏 3 | 泉 4 | 慰 5 | 洞 6 | 跟 7 | 渠 8 | 倾 9 | 丁 10 | 掉 11 | 拔 12 | 浙 13 | 衡 14 | 雅 15 | 估 16 | 肉 17 | 奔 18 | 泥 19 | 

末 : 慰 0 | 跟 1 | 乏 2 | 倾 3 | 卷 4 | 掉 5 | 桑 6 | 浙 7 | 井 8 | 雅 9 | 泉 10 | 肉 11 | 洞 12 | 泥 13 | 渠 14 | 贴 15 | 丁 16 | 迷 17 | 拔 18 | 肃 19 | 

浙 : 掉 0 | 浙 1 | 倾 2 | 雅 3 | 跟 4 | 肉 5 | 慰 6 | 泥 7 | 乏 8 | 贴 9 | 卷 10 | 迷 11 | 桑 12 | 肃 13 | 井 14 | 滨 15 | 泉 16 | 谷 17 | 洞 18 | 阔 19 | 

稻 : 肉 0 | 泥 1 | 雅 2 | 贴 3 | 浙 4 | 迷 5 | 掉 6 | 肃 7 | 倾 8 | 滨 9 | 跟 10 | 谷 11 | 慰 12 | 阔 13 | 乏 14 | 爆 15 | 卷 16 | 侵 17 | 桑 18 | 趣 19 | 

械 : 迷 0 | 肃 1 | 贴 2 | 滨 3 | 泥 4 | 谷 5 | 肉 6 | 阔 7 | 雅 8 | 爆 9 | 浙 10 | 侵 11 | 掉 12 | 趣 13 | 倾 14 | 伐 15 | 跟 16 | 姆 17 | 慰 18 | 绕 19 | 

珠 : 谷 0 | 阔 1 | 滨 2 | 爆 3 | 肃 4 | 侵 5 | 迷 6 | 趣 7 | 贴 8 | 伐 9 | 泥 10 | 姆 11 | 肉 12 | 绕 13 | 雅 14 | 末 15 | 浙 16 | 冒 17 | 掉 18 | 宫 19 | 

谊 : 侵 0 | 趣 1 | 爆 2 | 伐 3 | 阔 4 | 姆 5 | 谷 6 | 绕 7 | 滨 8 | 末 9 | 肃 10 | 冒 11 | 迷 12 | 宫 13 | 贴 14 | 润 15 | 泥 16 | 触 17 | 肉 18 | 晨 19 | 

遵 : 姆 0 | 绕 1 | 伐 2 | 末 3 | 趣 4 | 冒 5 | 侵 6 | 宫 7 | 爆 8 | 润 9 | 阔 10 | 触 11 | 谷 12 | 晨 13 | 滨 14 | Ｃ 15 | 肃 16 | 妈 17 | 迷 18 | ‘ 19 | 

贴 : 冒 0 | 宫 1 | 末 2 | 润 3 | 绕 4 | 触 5 | 姆 6 | 晨 7 | 伐 8 | Ｃ 9 | 趣 10 | 妈 11 | 侵 12 | ‘ 13 | 爆 14 | 戴 15 | 阔 16 | 醒 17 | 谷 18 | 谊 19 | 

润 : 触 0 | 晨 1 | 润 2 | Ｃ 3 | 宫 4 | 妈 5 | 冒 6 | ‘ 7 | 末 8 | 戴 9 | 绕 10 | 醒 11 | 姆 12 | 谊 13 | 伐 14 | 钦 15 | 趣 16 | 肥 17 | 侵 18 | 忧 19 | 

估 : 妈 0 | ‘ 1 | Ｃ 2 | 戴 3 | 晨 4 | 醒 5 | 触 6 | 谊 7 | 润 8 | 钦 9 | 宫 10 | 肥 11 | 冒 12 | 忧 13 | 末 14 | 赏 15 | 绕 16 | 曼 17 | 姆 18 | 阴 19 | 

返 : 醒 0 | 谊 1 | 戴 2 | 钦 3 | ‘ 4 | 肥 5 | 妈 6 | 忧 7 | Ｃ 8 | 赏 9 | 晨 10 | 曼 11 | 触 12 | 阴 13 | 润 14 | 徽 15 | 宫 16 | 拨 17 | 冒 18 | 梦 19 | 

覆 : 肥 0 | 忧 1 | 钦 2 | 赏 3 | 谊 4 | 曼 5 | 醒 6 | 阴 7 | 戴 8 | 徽 9 | ‘ 10 | 拨 11 | 妈 12 | 梦 13 | Ｃ 14 | 恐 15 | 晨 16 | 暖 17 | 触 18 | 净 19 | 

净 : 曼 0 | 阴 1 | 赏 2 | 徽 3 | 忧 4 | 拨 5 | 肥 6 | 梦 7 | 钦 8 | 恐 9 | 谊 10 | 暖 11 | 醒 12 | 净 13 | 戴 14 | 毁 15 | ‘ 16 | 珠 17 | 妈 18 | 餐 19 | 

茶 : 拨 0 | 梦 1 | 徽 2 | 恐 3 | 阴 4 | 暖 5 | 曼 6 | 净 7 | 赏 8 | 毁 9 | 忧 10 | 珠 11 | 肥 12 | 餐 13 | 钦 14 | 涌 15 | 谊 16 | 疫 17 | 醒 18 | 茶 19 | 

醒 : 暖 0 | 净 1 | 恐 2 | 毁 3 | 梦 4 | 珠 5 | 拨 6 | 餐 7 | 徽 8 | 涌 9 | 阴 10 | 疫 11 | 曼 12 | 茶 13 | 赏 14 | 甲 15 | 忧 16 | 滑 17 | 肥 18 | 涨 19 | 

柬 : 珠 0 | 餐 1 | 毁 2 | 涌 3 | 净 4 | 疫 5 | 暖 6 | 茶 7 | 恐 8 | 甲 9 | 梦 10 | 滑 11 | 拨 12 | 涨 13 | 徽 14 | 返 15 | 阴 16 | 篮 17 | 曼 18 | 抽 19 | 

宪 : 疫 0 | 茶 1 | 涌 2 | 甲 3 | 餐 4 | 滑 5 | 珠 6 | 涨 7 | 毁 8 | 返 9 | 净 10 | 篮 11 | 暖 12 | 抽 13 | 恐 14 | 宋 15 | 梦 16 | 辞 17 | 拨 18 | 圳 19 | 

杯 : 滑 0 | 涨 1 | 甲 2 | 返 3 | 茶 4 | 篮 5 | 疫 6 | 抽 7 | 涌 8 | 宋 9 | 餐 10 | 辞 11 | 珠 12 | 圳 13 | 毁 14 | 穷 15 | 净 16 | 昆 17 | 暖 18 | 拒 19 | 

塑 : 篮 0 | 抽 1 | 返 2 | 宋 3 | 涨 4 | 辞 5 | 滑 6 | 圳 7 | 甲 8 | 穷 9 | 茶 10 | 昆 11 | 疫 12 | 拒 13 | 涌 14 | 摩 15 | 餐 16 | 圣 17 | 珠 18 | 窗 19 | 

弃 : 辞 0 | 圳 1 | 宋 2 | 穷 3 | 抽 4 | 昆 5 | 篮 6 | 拒 7 | 返 8 | 摩 9 | 涨 10 | 圣 11 | 滑 12 | 窗 13 | 甲 14 | 洗 15 | 茶 16 | 跳 17 | 疫 18 | 荡 19 | 

贝 : 昆 0 | 拒 1 | 穷 2 | 摩 3 | 圳 4 | 圣 5 | 辞 6 | 窗 7 | 宋 8 | 洗 9 | 抽 10 | 跳 11 | 篮 12 | 荡 13 | 返 14 | 毫 15 | 涨 16 | 诸 17 | 滑 18 | 倡 19 | 

灯 : 圣 0 | 窗 1 | 摩 2 | 洗 3 | 拒 4 | 跳 5 | 昆 6 | 荡 7 | 穷 8 | 毫 9 | 圳 10 | 诸 11 | 辞 12 | 倡 13 | 宋 14 | 劲 15 | 抽 16 | 侨 17 | 篮 18 | 塑 19 | 

胞 : 跳 0 | 荡 1 | 洗 2 | 毫 3 | 窗 4 | 诸 5 | 圣 6 | 倡 7 | 摩 8 | 劲 9 | 拒 10 | 侨 11 | 昆 12 | 塑 13 | 穷 14 | 履 15 | 圳 16 | 谓 17 | 辞 18 | 甘 19 | 

混 : 诸 0 | 倡 1 | 毫 2 | 劲 3 | 荡 4 | 侨 5 | 跳 6 | 塑 7 | 洗 8 | 履 9 | 窗 10 | 谓 11 | 圣 12 | 甘 13 | 摩 14 | 弃 15 | 拒 16 | 峡 17 | 昆 18 | 轨 19 | 

迈 : 侨 0 | 塑 1 | 劲 2 | 履 3 | 倡 4 | 谓 5 | 诸 6 | 甘 7 | 毫 8 | 弃 9 | 荡 10 | 峡 11 | 跳 12 | 轨 13 | 洗 14 | 佩 15 | 窗 16 | 档 17 | 圣 18 | 赢 19 | 

诸 : 谓 0 | 甘 1 | 履 2 | 弃 3 | 塑 4 | 峡 5 | 侨 6 | 轨 7 | 劲 8 | 佩 9 | 倡 10 | 档 11 | 诸 12 | 赢 13 | 毫 14 | 旱 15 | 荡 16 | 佛 17 | 跳 18 | 羊 19 | 

贺 : 峡 0 | 轨 1 | 弃 2 | 佩 3 | 甘 4 | 档 5 | 谓 6 | 赢 7 | 履 8 | 旱 9 | 塑 10 | 佛 11 | 侨 12 | 羊 13 | 劲 14 | 默 15 | 倡 16 | 稿 17 | 诸 18 | 虚 19 | 

灌 : 档 0 | 赢 1 | 佩 2 | 旱 3 | 轨 4 | 佛 5 | 峡 6 | 羊 7 | 弃 8 | 默 9 | 甘 10 | 稿 11 | 谓 12 | 虚 13 | 履 14 | 纺 15 | 塑 16 | 圆 17 | 侨 18 | 赖 19 | 

铺 : 佛 0 | 羊 1 | 旱 2 | 默 3 | 赢 4 | 稿 5 | 档 6 | 虚 7 | 佩 8 | 纺 9 | 轨 10 | 圆 11 | 峡 12 | 赖 13 | 弃 14 | 凝 15 | 甘 16 | 菲 17 | 谓 18 | 彭 19 | 

℃ : 稿 0 | 虚 1 | 默 2 | 纺 3 | 羊 4 | 圆 5 | 佛 6 | 赖 7 | 旱 8 | 凝 9 | 赢 10 | 菲 11 | 档 12 | 彭 13 | 佩 14 | 吁 15 | 轨 16 | 聘 17 | 峡 18 | 迈 19 | 

薄 : 圆 0 | 赖 1 | 纺 2 | 凝 3 | 虚 4 | 菲 5 | 稿 6 | 彭 7 | 默 8 | 吁 9 | 羊 10 | 聘 11 | 佛 12 | 迈 13 | 旱 14 | 墙 15 | 赢 16 | 漫 17 | 档 18 | 废 19 | 

横 : 菲 0 | 彭 1 | 凝 2 | 吁 3 | 赖 4 | 聘 5 | 圆 6 | 迈 7 | 纺 8 | 墙 9 | 虚 10 | 漫 11 | 稿 12 | 废 13 | 默 14 | 秩 15 | 羊 16 | 遵 17 | 佛 18 | 浩 19 | 

旨 : 聘 0 | 迈 1 | 吁 2 | 墙 3 | 彭 4 | 漫 5 | 菲 6 | 废 7 | 凝 8 | 秩 9 | 赖 10 | 遵 11 | 圆 12 | 浩 13 | 纺 14 | 欣 15 | 虚 16 | 慢 17 | 稿 18 | 阻 19 | 

钦 : 漫 0 | 废 1 | 墙 2 | 秩 3 | 迈 4 | 遵 5 | 聘 6 | 浩 7 | 吁 8 | 欣 9 | 彭 10 | 慢 11 | 菲 12 | 阻 13 | 凝 14 | 貌 15 | 赖 16 | 炼 17 | 圆 18 | Ｄ 19 | 

扣 : 遵 0 | 浩 1 | 秩 2 | 欣 3 | 废 4 | 慢 5 | 漫 6 | 阻 7 | 墙 8 | 貌 9 | 迈 10 | 炼 11 | 聘 12 | Ｄ 13 | 吁 14 | 渡 15 | 彭 16 | 祥 17 | 菲 18 | 丝 19 | 

寨 : 慢 0 | 阻 1 | 欣 2 | 貌 3 | 浩 4 | 炼 5 | 遵 6 | Ｄ 7 | 秩 8 | 渡 9 | 废 10 | 祥 11 | 漫 12 | 丝 13 | 墙 14 | 迟 15 | 迈 16 | 楚 17 | 聘 18 | 吗 19 | 

暖 : 炼 0 | Ｄ 1 | 貌 2 | 渡 3 | 阻 4 | 祥 5 | 慢 6 | 丝 7 | 欣 8 | 迟 9 | 浩 10 | 楚 11 | 遵 12 | 吗 13 | 秩 14 | 呈 15 | 废 16 | 邻 17 | 漫 18 | 仁 19 | 

垃 : 祥 0 | 丝 1 | 渡 2 | 迟 3 | Ｄ 4 | 楚 5 | 炼 6 | 吗 7 | 貌 8 | 呈 9 | 阻 10 | 邻 11 | 慢 12 | 仁 13 | 欣 14 | 凭 15 | 浩 16 | 释 17 | 遵 18 | 纠 19 | 

弟 : 楚 0 | 吗 1 | 迟 2 | 呈 3 | 丝 4 | 邻 5 | 祥 6 | 仁 7 | 渡 8 | 凭 9 | Ｄ 10 | 释 11 | 炼 12 | 纠 13 | 貌 14 | 荷 15 | 阻 16 | 沟 17 | 慢 18 | 迁 19 | 

惯 : 邻 0 | 仁 1 | 呈 2 | 凭 3 | 吗 4 | 释 5 | 楚 6 | 纠 7 | 迟 8 | 荷 9 | 丝 10 | 沟 11 | 祥 12 | 迁 13 | 渡 14 | 旨 15 | Ｄ 16 | 寒 17 | 炼 18 | 耳 19 | 

桑 : 释 0 | 纠 1 | 凭 2 | 荷 3 | 仁 4 | 沟 5 | 邻 6 | 迁 7 | 呈 8 | 旨 9 | 吗 10 | 寒 11 | 楚 12 | 耳 13 | 迟 14 | 堡 15 | 丝 16 | 籍 17 | 祥 18 | 劣 19 | 

聘 : 沟 0 | 迁 1 | 荷 2 | 旨 3 | 纠 4 | 寒 5 | 释 6 | 耳 7 | 凭 8 | 堡 9 | 仁 10 | 籍 11 | 邻 12 | 劣 13 | 呈 14 | 哲 15 | 吗 16 | 坛 17 | 楚 18 | 饮 19 | 

帜 : 寒 0 | 耳 1 | 旨 2 | 堡 3 | 迁 4 | 籍 5 | 沟 6 | 劣 7 | 荷 8 | 哲 9 | 纠 10 | 坛 11 | 释 12 | 饮 13 | 凭 14 | 厦 15 | 仁 16 | 蓝 17 | 邻 18 | 敏 19 | 

赠 : 籍 0 | 劣 1 | 堡 2 | 哲 3 | 耳 4 | 坛 5 | 寒 6 | 饮 7 | 旨 8 | 厦 9 | 迁 10 | 蓝 11 | 沟 12 | 敏 13 | 荷 14 | 淮 15 | 纠 16 | 麻 17 | 释 18 | 番 19 | 

奔 : 坛 0 | 饮 1 | 哲 2 | 厦 3 | 劣 4 | 蓝 5 | 籍 6 | 敏 7 | 堡 8 | 淮 9 | 耳 10 | 麻 11 | 寒 12 | 番 13 | 旨 14 | 峻 15 | 迁 16 | 舆 17 | 沟 18 | 殖 19 | 

皇 : 蓝 0 | 敏 1 | 厦 2 | 淮 3 | 饮 4 | 麻 5 | 坛 6 | 番 7 | 哲 8 | 峻 9 | 劣 10 | 舆 11 | 籍 12 | 殖 13 | 堡 14 | 蓄 15 | 耳 16 | 氛 17 | 寒 18 | 猪 19 | 

凭 : 麻 0 | 番 1 | 淮 2 | 峻 3 | 敏 4 | 舆 5 | 蓝 6 | 殖 7 | 厦 8 | 蓄 9 | 饮 10 | 氛 11 | 坛 12 | 猪 13 | 哲 14 | 摊 15 | 劣 16 | 宪 17 | 籍 18 | 妻 19 | 

疫 : 舆 0 | 殖 1 | 峻 2 | 蓄 3 | 番 4 | 氛 5 | 麻 6 | 猪 7 | 淮 8 | 摊 9 | 敏 10 | 宪 11 | 蓝 12 | 妻 13 | 厦 14 | 耶 15 | 饮 16 | 赫 17 | 坛 18 | 袋 19 | 

冒 : 氛 0 | 猪 1 | 蓄 2 | 摊 3 | 殖 4 | 宪 5 | 舆 6 | 妻 7 | 峻 8 | 耶 9 | 番 10 | 赫 11 | 麻 12 | 袋 13 | 淮 14 | 横 15 | 敏 16 | 薄 17 | 蓝 18 | 揭 19 | 

浩 : 宪 0 | 妻 1 | 摊 2 | 耶 3 | 猪 4 | 赫 5 | 氛 6 | 袋 7 | 蓄 8 | 横 9 | 殖 10 | 薄 11 | 舆 12 | 揭 13 | 峻 14 | 豪 15 | 番 16 | 械 17 | 麻 18 | 胁 19 | 

暂 : 赫 0 | 袋 1 | 耶 2 | 横 3 | 妻 4 | 薄 5 | 宪 6 | 揭 7 | 摊 8 | 豪 9 | 猪 10 | 械 11 | 氛 12 | 胁 13 | 蓄 14 | 循 15 | 殖 16 | 巡 17 | 舆 18 | 崇 19 | 

旁 : 薄 0 | 揭 1 | 横 2 | 豪 3 | 袋 4 | 械 5 | 赫 6 | 胁 7 | 耶 8 | 循 9 | 妻 10 | 巡 11 | 宪 12 | 崇 13 | 摊 14 | 坝 15 | 猪 16 | 乃 17 | 氛 18 | 勃 19 | 

煌 : 械 0 | 胁 1 | 豪 2 | 循 3 | 揭 4 | 巡 5 | 薄 6 | 崇 7 | 横 8 | 坝 9 | 袋 10 | 乃 11 | 赫 12 | 勃 13 | 耶 14 | 频 15 | 妻 16 | 阅 17 | 宪 18 | 浓 19 | 

默 : 巡 0 | 崇 1 | 循 2 | 坝 3 | 胁 4 | 乃 5 | 械 6 | 勃 7 | 豪 8 | 频 9 | 揭 10 | 阅 11 | 薄 12 | 浓 13 | 横 14 | 缴 15 | 袋 16 | 混 17 | 赫 18 | 炸 19 | 

